first_update,update,updates_in_bin,training_seconds,state_ce,token_accuracy,loss,latent_loss,weighted_latent_loss,latent_rms,predicted_latent_rms,latent_variation_rms,latent_relative_l2,latent_cosine,predicted_state_ce,teacher_predicted_kl
1,100,100,6.9224025619932945,3.7979932260513305,0.09624349201098084,3.8458904910087583,0.04789728377945721,0.04789728377945721,0.9988728761672974,1.0103451013565063,0.1934659704566002,0.1751726232469082,0.9846111983060837,4.345413446426392,0.25026025250554085
101,200,100,12.546900881985493,3.73270485162735,0.1026806666702032,3.7428614020347597,0.010156560018658637,0.010156560018658637,0.9984971582889557,1.0035073161125183,0.24194486811757088,0.15461677312850952,0.987476110458374,4.23585832118988,0.1525522917509079
201,300,100,18.30511348499931,3.533829245567322,0.15632324635982514,3.5857053422927856,0.05187610752880573,0.05187610752880573,0.9986393451690674,0.9868904948234558,0.4995940178632736,0.3483925238251686,0.928990513086319,4.201309323310852,0.2948923110961914
301,400,100,23.8918774160029,3.415361762046814,0.1830403682589531,3.4679309916496277,0.05256923764944076,0.05256923764944076,0.9991829693317413,0.9728382080793381,0.5463893115520477,0.34030964225530624,0.9251591712236404,4.167994141578674,0.4053148254752159
401,500,100,29.474475723996875,3.4027169871330263,0.18479492604732514,3.44853319644928,0.04581619828939438,0.04581619828939438,0.9991717338562012,0.9673911780118942,0.5372121632099152,0.31771478801965714,0.9322793632745743,4.143519997596741,0.40351270884275436
501,600,100,35.13437708899801,3.366628108024597,0.18986491352319718,3.416117377281189,0.04948927015066147,0.04948927015066147,0.9992978125810623,0.9557983577251434,0.5463998019695282,0.3474786505103111,0.9202990680932999,4.14041268825531,0.459953710436821
601,700,100,40.7458244240006,1.8688267505168914,0.452303072810173,2.1992360758781433,0.3304093088209629,0.3304093088209629,1.0040737092494965,0.4850667044520378,0.917780414223671,0.9207389205694199,0.3204459846019745,4.250569224357605,2.112279176712036
701,800,100,46.40197457699651,0.296793856471777,0.9292431825399399,0.7371723484992981,0.4403784936666489,0.4403784936666489,1.0107881724834442,0.3406781554222107,0.992598757147789,1.012782484292984,0.1309083066880703,4.195960283279419,3.6757792830467224
801,900,100,52.024154799002645,0.06325184766203165,0.9845524275302887,0.4987738284468651,0.43552197992801667,0.43552197992801667,1.016375184059143,0.31476619094610214,0.9960377961397171,0.9981590360403061,0.1605980582535267,4.110172986984253,3.9655280709266663
901,1000,100,57.645145293994574,0.034927235506474974,0.9909261280298233,0.4637688010931015,0.42884156554937364,0.42884156554937364,1.0199818313121796,0.2955464571714401,0.9985125660896301,0.9833422303199768,0.2001463994383812,3.9826526641845703,3.899622678756714
