arm,update,parameter_count,selection_kind,dev_token_accuracy,dev_whole_word_exact_match,ood_ce,A36,M36,E12,E13,E14,E15,E16,E36
seq4_alibi,1000,13702656,prospectively_fixed80k,0.18292317708333336,0.0,3.8669708895963066,0.01640625,0.07201334635416666,0.0,0.0,0.0,0.0,0.0,0.0
seq4_alibi,5000,13702656,prospectively_fixed80k,0.5520442708333334,7.8125e-05,3.320761610677718,0.01642578125,0.19519124348958333,0.0001171875,9.765625e-06,0.0,0.0,0.0,0.0
seq4_alibi,10000,13702656,prospectively_fixed80k,0.9182161458333334,0.52712890625,2.7239809747215364,0.016455078125,0.34347846137152777,0.523466796875,0.33951171875,0.187900390625,0.087265625,0.03419921875,0.0
seq4_alibi,20000,13702656,prospectively_fixed80k,0.9746101888020832,0.840810546875,2.6390710014363115,0.016689453125,0.3899799262152778,0.844970703125,0.7046875,0.496787109375,0.277783203125,0.12044921875,0.0
seq4_alibi,25000,13702656,prospectively_fixed80k,0.9850455729166666,0.901328125,2.758813413055285,0.01623046875,0.39666829427083333,0.90201171875,0.7828125,0.56705078125,0.31841796875,0.13279296875,0.0
seq4_alibi,30000,13702656,prospectively_fixed80k,0.9875927734375,0.904267578125,3.0511474066996898,0.016611328125,0.3980843098958333,0.903232421875,0.788876953125,0.576904296875,0.323642578125,0.1317578125,0.0
seq4_alibi,40000,13702656,prospectively_fixed80k,0.99186767578125,0.93279296875,4.126671407191839,0.0160546875,0.4013457573784722,0.933115234375,0.838544921875,0.628876953125,0.349326171875,0.13259765625,0.0
seq4_alibi,50000,13702656,prospectively_fixed80k,0.9924951171874999,0.938994140625,5.05909323923132,0.017138671875,0.40222276475694446,0.93802734375,0.853173828125,0.6478515625,0.358828125,0.135615234375,0.0
seq4_alibi,60000,13702656,prospectively_fixed80k,0.9939680989583333,0.9471875,5.015011375367605,0.0167578125,0.40170030381944444,0.9474609375,0.86408203125,0.6521484375,0.350498046875,0.1212109375,0.0
seq4_alibi,70000,13702656,prospectively_fixed80k,0.9950374348958334,0.9555078125,5.053970789305026,0.016328125,0.4025718858506944,0.95595703125,0.88177734375,0.670205078125,0.353740234375,0.11927734375,0.0
seq4_alibi,80000,13702656,prospectively_fixed80k,0.9946704101562499,0.95181640625,5.045037938552457,0.016044921875,0.4003713650173611,0.9513671875,0.871015625,0.654462890625,0.3354296875,0.106630859375,0.0
rt_window2_first,1000,7407104,prospectively_fixed80k,0.9931136067708333,0.95634765625,0.37383916760297975,0.69826171875,0.8835413953993055,0.955615234375,0.941416015625,0.925146484375,0.90732421875,0.887431640625,0.467470703125
rt_window2_first,5000,7407104,prospectively_fixed80k,0.9990787760416667,0.993349609375,0.16414373568255872,0.85583984375,0.9545556640625,0.99365234375,0.9901953125,0.98607421875,0.980771484375,0.974833984375,0.740673828125
rt_window2_first,10000,7407104,prospectively_fixed80k,0.9992000325520833,0.994775390625,0.1190318756960539,0.91765625,0.97316650390625,0.99525390625,0.99310546875,0.99046875,0.98759765625,0.9838671875,0.85791015625
rt_window2_first,20000,7407104,prospectively_fixed80k,0.9996598307291666,0.99806640625,0.03960369874972864,0.97875,0.9928352864583333,0.9980859375,0.997412109375,0.996640625,0.99568359375,0.994619140625,0.963369140625
rt_window2_first,25000,7407104,prospectively_fixed80k,0.9994474283854166,0.996806640625,0.05449141533012642,0.977392578125,0.9916669379340278,0.9968359375,0.995908203125,0.995029296875,0.993935546875,0.9926953125,0.96208984375
rt_window2_first,30000,7407104,prospectively_fixed80k,1.0,1.0,4.2429621724130973e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,40000,7407104,prospectively_fixed80k,1.0,1.0,2.68338960507957e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,50000,7407104,prospectively_fixed80k,1.0,1.0,2.8100882515384307e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,60000,7407104,prospectively_fixed80k,1.0,1.0,2.1428459097532015e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,70000,7407104,prospectively_fixed80k,1.0,1.0,1.261014233177435e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,80000,7407104,prospectively_fixed80k,1.0,1.0,8.2958717480815e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_nextlat,1000,7407104,user_selected_after_development_review,0.613525390625,0.016416015625,3.2844407697997795,0.01609375,0.2176898871527778,0.01669921875,0.004013671875,0.00076171875,6.8359375e-05,0.0,0.0
rt_nextlat,5000,7407104,user_selected_after_development_review,0.9411743164062499,0.68275390625,3.7918064564307974,0.016943359375,0.33860785590277775,0.68341796875,0.34673828125,0.066806640625,0.00751953125,0.00044921875,0.0
rt_nextlat,10000,7407104,user_selected_after_development_review,0.9975325520833332,0.983046875,3.3474552533695903,0.01642578125,0.3911941189236111,0.98376953125,0.96865234375,0.622373046875,0.127216796875,0.013349609375,0.0
rt_nextlat,20000,7407104,user_selected_after_development_review,0.9988533528645834,0.990947265625,3.159689132001693,0.017099609375,0.3801101345486111,0.990712890625,0.93419921875,0.341435546875,0.043349609375,0.0029296875,0.0
rt_nextlat,25000,7407104,user_selected_after_development_review,0.9989168294270835,0.9909375,3.378510560108424,0.01609375,0.37397705078125,0.990830078125,0.840595703125,0.23046875,0.02447265625,0.00142578125,0.0
rt_nextlat,30000,7407104,user_selected_after_development_review,0.99847412109375,0.98939453125,3.3355076183439105,0.01615234375,0.3816737196180556,0.98970703125,0.953984375,0.378486328125,0.047646484375,0.003134765625,0.0
rt_nextlat,40000,7407104,user_selected_after_development_review,0.9994856770833334,0.996337890625,3.389478876631685,0.016220703125,0.3879597981770833,0.9964453125,0.9811328125,0.53603515625,0.081787109375,0.006015625,0.0
rt_nextlat,50000,7407104,user_selected_after_development_review,0.9995410156250001,0.99677734375,3.5598057693203753,0.016142578125,0.3818576388888889,0.9975,0.962314453125,0.370966796875,0.039248046875,0.002138671875,0.0
