arm,first_update,injection_coefficient,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
value,1,0.01,0.9871563464403152,0.0335371972899884,0.1625359132885933,0.999269649386406,0.17627926170825958,3.8258146405220033,1.0098552405834198,4.367021441459656,3.79227744102478,0.2704983428120613,0.09785319266840815,16.74648048500785,100,100,0.0335371972899884
value,101,0.01,0.949565663933754,0.03747039461508393,0.2937459424138069,0.9989559799432755,0.36280418932437897,3.630893733501434,0.9958197325468063,4.3588738441467285,3.5934233403205873,0.419484406709671,0.13906250461935998,32.03223684801742,200,100,0.03747039461508393
value,201,0.01,0.9430046677589417,0.04562719628214836,0.30839012563228607,0.9986360371112823,0.46051835268735886,3.4588519644737246,0.9765372723340988,4.241255164146423,3.413224766254425,0.500077374279499,0.18279053285717964,47.3963222240036,300,100,0.04562719628214836
value,301,0.01,0.9486764520406723,0.03726421914994717,0.2854861095547676,0.9982427507638931,0.48171257227659225,3.4436251878738404,0.9728565216064453,4.163848042488098,3.406360967159271,0.43621185421943665,0.18341797351837158,62.61691709701881,400,100,0.03726421914994717
value,401,0.01,0.9474403262138367,0.03603529598563909,0.283126637339592,0.9979392886161804,0.5164849013090134,3.440944740772247,0.9621236622333527,4.133583664894104,3.404909439086914,0.41100799292325974,0.18349772557616234,77.74762012601605,500,100,0.03603529598563909
value,501,0.01,0.9445601850748062,0.03646850813180208,0.2862131968140602,0.9977139383554459,0.5313030183315277,3.4392521381378174,0.9663800001144409,4.120107173919678,3.4027836298942566,0.39748605340719223,0.18392985478043555,92.81241419801881,600,100,0.03646850813180208
value,601,0.01,0.9211868345737457,0.04594599466770887,0.3363547697663307,0.9976259469985962,0.5811634063720703,3.4054597759246827,0.9492602646350861,4.130435824394226,3.3595137786865235,0.4599782004952431,0.18941406831145285,107.9970997140208,700,100,0.04594599466770887
value,701,0.01,0.4982392191886902,0.23758306182920932,0.7826387882232666,0.9982961118221283,0.8688802123069763,2.5394839739799497,0.6159250661730766,4.182879209518433,2.3019009155035017,1.7681880742311478,0.35719564869999887,123.58831497402389,800,100,0.23758306182920932
value,801,0.01,0.1251279804855585,0.4281996336579323,1.0079255998134613,1.0020517110824585,0.9903316497802734,0.8712094295024871,0.3124360665678978,4.190063953399658,0.44300979405641555,3.5589054226875305,0.8628475129604339,139.2291023580292,900,100,0.4281996336579323
value,901,0.01,0.16088229790329933,0.42417277812957765,0.9927325546741486,1.0060153603553772,0.9915424436330795,0.536957881450653,0.2877287417650223,4.061737537384033,0.11278510443866253,3.8981361985206604,0.9651595258712768,154.36353229403176,1000,100,0.42417277812957765
