first_update,update,updates_in_bin,training_seconds,loss,token_accuracy,whole_word_exact,grad_norm
1,100,100,6.8209651009983645,3.7838954734802246,0.09697265859693288,0.0,0.6092317274212837
101,200,100,12.32621243000267,3.5561741542816163,0.15472738072276115,0.0,0.5461186456680298
201,300,100,17.854382254001393,3.4112964868545532,0.1840633188188076,0.0,0.4757823273539543
301,400,100,23.43239708400415,3.400640959739685,0.18500977143645286,0.0,0.38332722753286363
401,500,100,28.93444949800596,3.3986762404441833,0.18492757618427277,0.0,0.3704688626527786
501,600,100,34.45829439800764,3.39608781337738,0.1856982471048832,0.0,0.3522393825650215
601,700,100,40.04121055000269,3.392091763019562,0.18645508244633674,0.0,0.38145229637622835
701,800,100,45.62736223199863,3.378819994926453,0.1889013719558716,0.0,0.45096743643283843
801,900,100,51.197973392993845,3.337209792137146,0.1956445363163948,0.0,0.6373721468448639
901,1000,100,56.743217910996464,3.1635033011436464,0.2241674867272377,0.0,1.3530044317245484
1001,1100,100,62.291137812997476,2.4027203452587127,0.36322673499584196,6.8359375e-05,18.806092982292174
1101,1200,100,67.86825371199939,1.7423657333850862,0.5128157699108123,0.003974609375,41.72073057174683
1201,1300,100,73.45805626699985,1.3368572986125946,0.6277286952733994,0.02921875,48.779991703033446
1301,1400,100,79.01709729400045,1.0362351059913635,0.7188623243570328,0.0994140625,51.0955530166626
1401,1500,100,84.56145103699873,0.8013065326213836,0.7926570826768875,0.215166015625,48.28888826370239
1501,1600,100,90.14493838900398,0.5798561924695969,0.8607316291332245,0.374013671875,42.37669778823852
1601,1700,100,95.69142078500681,0.46935216814279557,0.885466331243515,0.462861328125,41.07926478385925
1701,1800,100,101.38150837600733,0.34109147369861603,0.9216536617279053,0.599404296875,36.6654434967041
1801,1900,100,106.85325280100824,0.26642467468976977,0.9394848853349685,0.667939453125,31.756671676635744
1901,2000,100,112.35676846900242,0.2286694124341011,0.9453092652559281,0.69794921875,30.9754235458374
2001,2100,100,117.88773001900972,0.15544331200420858,0.9672127473354339,0.8009375,22.493135719299318
2101,2200,100,123.4705306700098,0.13843114882707597,0.9684261256456375,0.80982421875,22.729219846725464
2201,2300,100,128.96803759300474,0.1015546790137887,0.9786043494939805,0.86072265625,17.253405733108522
2301,2400,100,134.4554136989973,0.08091505866497756,0.9830607289075851,0.8871484375,14.822972831726075
2401,2500,100,139.9339771800005,0.06286502696573734,0.9875464046001434,0.914560546875,12.126931190490723
2501,2600,100,145.39882141899943,0.05582399111241102,0.9882316249608993,0.91787109375,11.296572618484497
2601,2700,100,150.90609180400315,0.04726935438811779,0.989830749630928,0.928759765625,9.956181101799011
2701,2800,100,156.3933998179964,0.0425405172817409,0.9908943879604339,0.93625,9.169568996429444
