update,role,rows,length,ce,token_accuracy,whole_word_exact_match,final_state_accuracy
5000,dev,102400,12,0.00863443836266389,0.9977246093750001,0.982607421875,0.9856640625
5000,ood_dev,102400,36,10.262207059291216,0.3831627061631944,0.0,0.01681640625
10000,dev,102400,12,0.004212289262244403,0.9987524414062499,0.991845703125,0.993701171875
10000,ood_dev,102400,36,4.670085698225175,0.37358832465277775,0.0,0.016962890625
20000,dev,102400,12,0.0026876826491668403,0.9995019531250001,0.99826171875,0.998642578125
20000,ood_dev,102400,36,4.8459944424887285,0.38156819661458335,0.0,0.01666015625
25000,dev,102400,12,0.0025266141050140395,0.9995003255208333,0.99787109375,0.998271484375
25000,ood_dev,102400,36,5.625123589265154,0.3729801432291666,0.0,0.01615234375
30000,dev,102400,12,0.0022337271152778845,0.9996598307291666,0.998935546875,0.99916015625
30000,ood_dev,102400,36,5.487979273327276,0.36665527343750004,0.0,0.016552734375
40000,dev,102400,12,0.0007591683369510835,0.9998657226562501,0.999296875,0.999423828125
40000,ood_dev,102400,36,8.98734845572559,0.3605826822916666,0.0,0.016689453125
50000,dev,102400,12,0.0014986599012634955,0.9997932942708333,0.999287109375,0.999501953125
50000,ood_dev,102400,36,11.985270804647062,0.3745388454861111,0.0,0.017099609375
60000,dev,102400,12,0.0012413761808219381,0.999794921875,0.999013671875,0.999189453125
60000,ood_dev,102400,36,8.697997223558993,0.3784871419270833,0.0,0.017080078125
70000,dev,102400,12,0.00020163510318750057,0.9999674479166667,0.999873046875,0.999892578125
70000,ood_dev,102400,36,7.842180700949086,0.3784312608506944,0.0,0.01697265625
80000,dev,102400,12,0.0002240723957270922,0.9999609374999999,0.999814453125,0.999853515625
80000,ood_dev,102400,36,10.684952910261863,0.3655902777777778,0.0,0.01701171875
90000,dev,102400,12,7.986085840850966e-08,1.0,1.0,1.0
90000,ood_dev,102400,36,10.024380279603639,0.3779562717013889,0.0,0.017001953125
100000,dev,102400,12,0.0010097141469764218,0.9998258463541666,0.999111328125,0.9992578125
100000,ood_dev,102400,36,15.171797937699088,0.35974365234374994,0.0,0.016416015625
