arm,first_update,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
head,1,0.9876957684755325,0.03343417164869607,0.1593124121427536,0.9992738366127014,0.17325256764888763,3.8250845313072204,1.009655237197876,4.359392166137695,3.7916503739356995,0.2625942528247833,0.09797444924712181,15.149426917007986,100,100,0.03343417164869607
head,101,0.9504776746034622,0.03699403417296707,0.29154641926288605,0.9989591538906097,0.359836395829916,3.63207396030426,0.9960437119007111,4.355957865715027,3.595079929828644,0.41387296468019485,0.13853271827101707,29.16896230101156,200,100,0.03699403417296707
head,201,0.9432263672351837,0.045585859306156634,0.30775317549705505,0.998637929558754,0.4562946632504463,3.4586117672920227,0.9759360998868942,4.234507918357849,3.4130259108543397,0.4940885603427887,0.18296468690037726,43.16194376801286,300,100,0.045585859306156634
head,301,0.9472427219152451,0.03737085275352001,0.28760702908039093,0.9982416778802872,0.493251197040081,3.4437328147888184,0.9685112684965134,4.162638187408447,3.4063619709014894,0.4362541511654854,0.1834065808355808,57.21141077201901,400,100,0.03737085275352001
head,401,0.9480229616165161,0.036004623584449294,0.28180526942014694,0.997934103012085,0.5209393054246902,3.440741684436798,0.9647707492113113,4.128902196884155,3.404737048149109,0.4084055572748184,0.1835050503909588,71.28365386901896,500,100,0.036004623584449294
head,501,0.94392991065979,0.03705523025244475,0.2876456156373024,0.9977201521396637,0.5235264003276825,3.43835072517395,0.9627948254346848,4.122652530670166,3.401295485496521,0.3990628346800804,0.18409912616014482,85.44828964502085,600,100,0.03705523025244475
head,601,0.9047707766294479,0.054250964038074015,0.3678645119071007,0.9976732432842255,0.6015632301568985,3.3716987013816833,0.9375069737434387,4.135436415672302,3.3174477362632753,0.513392984867096,0.19540365070104598,99.45807498202339,700,100,0.054250964038074015
head,701,0.4184287562966347,0.27837873220443726,0.8456526696681976,0.9987577050924301,0.9058718234300613,2.3066914677619934,0.5446784943342209,4.183561325073242,2.0283127355575563,2.0530113875865936,0.39810059875249865,113.50340965002488,800,100,0.27837873220443726
head,801,0.12772909738123417,0.42799353927373884,1.0063293278217316,1.002613127231598,0.991189032793045,0.8230119997262955,0.30791591852903366,4.167247533798218,0.39501845329999924,3.5869287848472595,0.8753792518377304,127.47763063802086,900,100,0.42799353927373884
head,901,0.17183387279510498,0.4227446600794792,0.9899965077638626,1.0065525770187378,0.9901995807886124,0.5153631260991096,0.2912881448864937,4.046902120113373,0.0926184668019414,3.8955878615379333,0.9722192603349685,141.51547708602266,1000,100,0.4227446600794792
head,1001,0.23903349786996841,0.4109207430481911,0.9695117175579071,1.0081585943698883,0.9884239584207535,0.4562006986141205,0.28305375576019287,3.8746739625930786,0.04527995619922876,3.7923064827919006,0.9860164564847946,155.58790666801906,1100,100,0.4109207430481911
head,1101,0.3250897154211998,0.39445476591587064,0.9436297565698624,1.0066342055797577,0.9862269163131714,0.42665783792734147,0.287715882062912,3.591802656650543,0.032203071434050795,3.5384632349014282,0.9901847553253174,169.4862398740188,1200,100,0.39445476591587064
head,1201,0.4216945171356201,0.36897668689489366,0.9086632877588272,1.0022070705890656,0.9791356027126312,0.3944853115081787,0.33234062790870667,3.25778865814209,0.02550862414762378,3.2120051980018616,0.9922990107536316,183.44755111101676,1300,100,0.36897668689489366
head,1301,0.5017995834350586,0.33857962757349014,0.8694237917661667,0.996040090918541,0.9718489497900009,0.35779493898153303,0.40039023756980896,2.8803014755249023,0.019215312153100968,2.8413873314857483,0.9943123579025268,197.4131389330114,1400,100,0.33857962757349014
head,1401,0.5426831841468811,0.31658059507608416,0.8433236628770828,0.9899394661188126,0.9663543254137039,0.3336097565293312,0.4552870914340019,2.566551387310028,0.017029161546379328,2.537732720375061,0.9950032782554626,211.43737835600768,1500,100,0.31658059507608416
head,1501,0.570776179432869,0.30120192319154737,0.8243394047021866,0.9841026067733765,0.9582483470439911,0.31776529163122175,0.4749661386013031,2.3178585171699524,0.016563367135822772,2.2899771332740784,0.9950154805183411,225.44115803100522,1600,100,0.30120192319154737
head,1601,0.6224744766950607,0.2798744407296181,0.7911675870418549,0.9776238054037094,0.9489840865135193,0.2941664308309555,0.480046808719635,2.0993821024894714,0.014291989910416305,2.071490526199341,0.9957715076208115,239.33683288900465,1700,100,0.2798744407296181
