seed,update,fp32_native_ce,bf16_native_ce,bf16_minus_fp32_ce
7500,1,3.331298351287842,3.332096815109253,0.0007984638214111328
7500,2,2.951449155807495,2.950843334197998,-0.0006058216094970703
7500,3,2.7800025939941406,2.7798686027526855,-0.00013399124145507812
7500,4,2.665851593017578,2.665815830230713,-3.5762786865234375e-05
7500,5,2.7003800868988037,2.7009363174438477,0.0005562305450439453
7500,6,2.7004528045654297,2.7008635997772217,0.0004107952117919922
7500,7,2.6666419506073,2.666903018951416,0.00026106834411621094
7500,8,2.6501452922821045,2.6503500938415527,0.0002048015594482422
7500,9,2.651256799697876,2.6513173580169678,6.0558319091796875e-05
7500,10,2.6631040573120117,2.6632192134857178,0.00011515617370605469
7500,11,2.655942440032959,2.6563901901245117,0.0004477500915527344
7500,12,2.6506996154785156,2.6510813236236572,0.00038170814514160156
7500,13,2.6407229900360107,2.6407265663146973,3.5762786865234375e-06
7500,14,2.644192695617676,2.6441116333007812,-8.106231689453125e-05
7500,15,2.6451215744018555,2.6452889442443848,0.00016736984252929688
7500,16,2.6490206718444824,2.649409294128418,0.0003886222839355469
7500,17,2.649357318878174,2.6496076583862305,0.0002503395080566406
7500,18,2.6437671184539795,2.643876552581787,0.00010943412780761719
7500,19,2.641289234161377,2.641282081604004,-7.152557373046875e-06
7500,20,2.6415793895721436,2.641756534576416,0.00017714500427246094
7500,21,2.6429975032806396,2.6430764198303223,7.891654968261719e-05
7500,22,2.644409656524658,2.6445345878601074,0.00012493133544921875
7500,23,2.644111394882202,2.6440720558166504,-3.933906555175781e-05
7500,24,2.6461830139160156,2.6462152004241943,3.218650817871094e-05
7500,25,2.6412973403930664,2.641284227371216,-1.3113021850585938e-05
7500,26,2.637767791748047,2.6377968788146973,2.9087066650390625e-05
7500,27,2.6406023502349854,2.6406965255737305,9.417533874511719e-05
7500,28,2.6421432495117188,2.6423258781433105,0.00018262863159179688
7500,29,2.6435208320617676,2.6434829235076904,-3.790855407714844e-05
7500,30,2.638864040374756,2.638822078704834,-4.1961669921875e-05
7500,31,2.639835834503174,2.6400487422943115,0.0002129077911376953
7500,32,2.639136791229248,2.6393089294433594,0.00017213821411132812
7500,33,2.63989520072937,2.6399407386779785,4.553794860839844e-05
7500,34,2.6384201049804688,2.638406753540039,-1.33514404296875e-05
7500,35,2.640106678009033,2.6400957107543945,-1.0967254638671875e-05
7500,36,2.638179302215576,2.638190746307373,1.1444091796875e-05
7500,37,2.638090133666992,2.638105630874634,1.5497207641601562e-05
7500,38,2.6375844478607178,2.637723445892334,0.00013899803161621094
7500,39,2.6351869106292725,2.6351301670074463,-5.6743621826171875e-05
7500,40,2.63564395904541,2.6355838775634766,-6.008148193359375e-05
7500,41,2.639106273651123,2.6391396522521973,3.337860107421875e-05
7500,42,2.633817434310913,2.634050130844116,0.000232696533203125
7500,43,2.6348471641540527,2.6349096298217773,6.246566772460938e-05
7500,44,2.6333491802215576,2.6332387924194336,-0.00011038780212402344
7500,45,2.6319527626037598,2.632021188735962,6.842613220214844e-05
7500,46,2.635524034500122,2.6357059478759766,0.0001819133758544922
7500,47,2.63336443901062,2.6336231231689453,0.0002586841583251953
7500,48,2.6314268112182617,2.6316471099853516,0.00022029876708984375
7500,49,2.631899356842041,2.6319589614868164,5.9604644775390625e-05
7500,50,2.632326602935791,2.6321210861206055,-0.00020551681518554688
7500,51,2.6309103965759277,2.631131649017334,0.00022125244140625
7500,52,2.632889986038208,2.6331067085266113,0.0002167224884033203
7500,53,2.6276817321777344,2.62777042388916,8.869171142578125e-05
7500,54,2.6281399726867676,2.628211498260498,7.152557373046875e-05
7500,55,2.62896728515625,2.6290159225463867,4.863739013671875e-05
7500,56,2.6298441886901855,2.63008451461792,0.000240325927734375
7500,57,2.626246213912964,2.626509666442871,0.00026345252990722656
7500,58,2.6251323223114014,2.6252079010009766,7.557868957519531e-05
7500,59,2.6253116130828857,2.6254067420959473,9.512901306152344e-05
7500,60,2.6261234283447266,2.625950574874878,-0.0001728534698486328
7500,61,2.621269702911377,2.6214349269866943,0.0001652240753173828
7500,62,2.6256284713745117,2.6260769367218018,0.00044846534729003906
7500,63,2.620062828063965,2.620331287384033,0.0002684593200683594
7500,64,2.619485855102539,2.619696617126465,0.00021076202392578125
7500,65,2.62074613571167,2.620598077774048,-0.0001480579376220703
7500,66,2.626969575881958,2.6272034645080566,0.0002338886260986328
7500,67,2.6132359504699707,2.614161968231201,0.0009260177612304688
