seed,arm,update,native_ce,answer_token_accuracy,answer_sequence_exact_match,direct_exact_sequences,examples
7500,seq-fp32,0,3.318091869354248,0.060262044270833336,0.0,0,256
7500,seq-fp32,200,2.490976850191752,0.1436767578125,0.0,0,256
7500,seq-fp32,400,2.248069723447164,0.2113037109375,0.0,0,256
7500,seq-fp32,600,1.9875774383544922,0.2628173828125,0.0,0,256
7500,seq-fp32,800,1.8361432949701946,0.2820231119791667,0.0,0,256
7500,seq-fp32,1000,1.779062310854594,0.2970377604166667,0.0,0,256
7500,cdrm-fp32,0,3.315024455388387,0.0614013671875,0.0,0,256
7500,cdrm-fp32,50,2.6335254510243735,0.08052571614583333,0.0,0,256
7500,cdrm-fp32,100,2.584586977958679,0.1148681640625,0.0,0,256
7500,cdrm-fp32,200,2.488884170850118,0.14388020833333334,0.0,0,256
7500,cdrm-fp32,400,2.230671445528666,0.21797688802083334,0.0,0,256
7500,cdrm-fp32,600,1.9873797098795574,0.2714029947916667,0.0,0,256
7500,cdrm-fp32,800,1.8626387516657512,0.2838541666666667,0.0,0,256
7500,cdrm-fp32,1000,1.5875509182612102,0.32958984375,0.0,0,256
7500,cdrm-bf16,0,3.315694014231364,0.0615234375,0.0,0,256
7500,cdrm-bf16,50,2.6337407430013022,0.08085123697916667,0.0,0,256
7500,cdrm-bf16,100,2.5844819943110147,0.1138916015625,0.0,0,256
7500,cdrm-bf16,200,2.488630771636963,0.1434326171875,0.0,0,256
7500,cdrm-bf16,400,2.257800022761027,0.212890625,0.0,0,256
7500,cdrm-bf16,600,2.048052946726481,0.2524820963541667,0.0,0,256
7500,cdrm-bf16,800,1.917476216952006,0.2748209635416667,0.0,0,256
7500,cdrm-bf16,1000,1.8244789044062297,0.2803141276041667,0.0,0,256
