arm,comparison_role,role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
seq,primary,dev,10000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.017968715945939948
seq,primary,dev,10000,2,102400,100640,100640,203040,204800,0.9828125,0.9819981482431794,0.9835906284216323,0.9828125,0.9819981482431794,0.9835906284216323,0.99140625,0.08150033060993418
seq,primary,dev,10000,3,102400,100257,100914,303954,307200,0.979072265625,0.978177395068133,0.979931193460299,0.98548828125,0.9847373976427334,0.9862027407697758,0.98943359375,0.05554506380637538
seq,primary,dev,10000,4,102400,93908,94307,398261,409600,0.9170703125,0.9153655297994435,0.9187438042175625,0.920966796875,0.9192985238272916,0.9226034866033322,0.97231689453125,0.27331282288329495
seq,primary,dev,10000,5,102400,63327,66897,465158,512000,0.618427734375,0.615448042729984,0.6213985408989433,0.653291015625,0.6503703448244923,0.65620018566312,0.90851171875,1.1400266366924003
seq,primary,dev,10000,6,102400,8825,10897,476055,614400,0.086181640625,0.08447828634931419,0.08791604190369155,0.106416015625,0.10454203032048291,0.10831952983481834,0.7748291015625,3.5001965042348435
seq,primary,dev,10000,7,102400,894,3238,479293,716800,0.00873046875,0.008178823086830081,0.009318972242862126,0.03162109375,0.03056675125872842,0.032710576686301965,0.6686565290178571,3.997670745271307
seq,primary,dev,10000,8,102400,86,1966,481259,819200,0.00083984375,0.0006801615834049997,0.0010369757457781507,0.01919921875,0.018376591583629278,0.02005791832099574,0.587474365234375,4.081374532982968
seq,primary,dev,10000,9,102400,6,1757,483016,921600,5.859375e-05,2.6854309065424834e-05,0.00012784163392870978,0.017158203125,0.016380742477780357,0.01797188930542586,0.5241059027777778,4.094635151157272
seq,primary,dev,10000,10,102400,1,1702,484718,1024000,9.765625e-06,1.7238746867777096e-06,5.5319481670543434e-05,0.01662109375,0.015855983477047735,0.017422469853153533,0.473357421875,4.09613347253995
seq,primary,dev,10000,11,102400,0,1621,486339,1126400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.015830078125,0.01508354426487691,0.016612937161807978,0.43176402698863636,4.0966854426311325
seq,primary,dev,10000,12,102400,0,1727,488066,1228800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016865234375,0.016094484703258225,0.01767223156012711,0.3971891276041667,4.096657239331398
seq,primary,ood_dev,10000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.017943170667188042
seq,primary,ood_dev,10000,2,102400,100663,100663,203063,204800,0.983037109375,0.9822278757678217,0.9838101027955194,0.983037109375,0.9822278757678217,0.9838101027955194,0.9915185546875,0.08017362610894083
seq,primary,ood_dev,10000,3,102400,100280,100875,303938,307200,0.979296875,0.9784066122672529,0.9801511781597082,0.985107421875,0.9843471499215307,0.9858312983152112,0.9893815104166667,0.056735046376651825
seq,primary,ood_dev,10000,4,102400,93832,94226,398164,409600,0.916328125,0.9146165159723147,0.9180084987278119,0.92017578125,0.9185000032309285,0.921820035296179,0.972080078125,0.2727210363459203
seq,primary,ood_dev,10000,5,102400,63378,67033,465197,512000,0.61892578125,0.6159468162209417,0.6218958237916811,0.654619140625,0.6517010524886957,0.657525628355438,0.908587890625,1.1315841230737038
seq,primary,ood_dev,10000,6,102400,8812,10818,476015,614400,0.0860546875,0.08435248503930215,0.0877879464884479,0.10564453125,0.10377662097976816,0.10754202830667146,0.7747639973958333,3.50199236623614
seq,primary,ood_dev,10000,7,102400,891,3203,479218,716800,0.008701171875,0.008150475177496641,0.009288728600213477,0.031279296875,0.030230586319959184,0.0323631735186135,0.6685518973214286,3.9986602661888444
seq,primary,ood_dev,10000,8,102400,75,1988,481206,819200,0.000732421875,0.0005843998858659578,0.000917901752716203,0.0194140625,0.018586831624648362,0.020277349661178636,0.58740966796875,4.08304346029563
seq,primary,ood_dev,10000,9,102400,12,1789,482995,921600,0.0001171875,6.703989323386348e-05,0.00020483915372444735,0.017470703125,0.016686150166160145,0.018291458171521675,0.5240831163194445,4.094759087868733
seq,primary,ood_dev,10000,10,102400,0,1777,484772,1024000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017353515625,0.016571614402483354,0.01817162772727011,0.47341015625,4.0966549642221075
seq,primary,ood_dev,10000,11,102400,0,1645,486417,1126400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016064453125,0.01531236540613202,0.01685284843640957,0.43183327414772726,4.096263623870909
seq,primary,ood_dev,10000,12,102400,0,1735,488152,1228800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016943359375,0.016170814160317883,0.017752146241686355,0.39725911458333335,4.09632214683108
seq,primary,ood_dev,10000,13,102400,0,1716,489868,1331200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0167578125,0.01598953884727668,0.017562341725507667,0.36798978365384616,4.096431038801093
seq,primary,ood_dev,10000,14,102400,0,1667,491535,1433600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016279296875,0.015522155292928382,0.017072729930815194,0.34286760602678573,4.096587334487122
seq,primary,ood_dev,10000,15,102400,0,1695,493230,1536000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016552734375,0.015789210913578336,0.01735252879533139,0.32111328125,4.09643744782079
seq,primary,ood_dev,10000,16,102400,0,1820,495050,1638400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0177734375,0.01698207724119868,0.018600977133631385,0.302154541015625,4.0960546211735345
seq,primary,ood_dev,10000,17,102400,0,1683,496733,1740800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016435546875,0.01567475168184742,0.01723262181913395,0.2853475413602941,4.096511540601496
seq,primary,ood_dev,10000,18,102400,0,1689,498422,1843200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016494140625,0.01573198002662403,0.017292576578321527,0.27041124131944444,4.096574634832796
seq,primary,ood_dev,10000,19,102400,0,1702,500124,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01662109375,0.015855983477047735,0.017422469853153533,0.25705386513157896,4.096356398737989
seq,primary,ood_dev,10000,20,102400,0,1665,501789,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016259765625,0.015503082034887343,0.017052742154201505,0.24501416015625,4.096570551707409
seq,primary,ood_dev,10000,21,102400,0,1662,503451,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01623046875,0.015474472688896538,0.017022759948210224,0.23411969866071428,4.0963192805391735
seq,primary,ood_dev,10000,22,102400,0,1700,505151,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0166015625,0.015836905251750164,0.017402487043796374,0.2242325106534091,4.096475720172748
seq,primary,ood_dev,10000,23,102400,0,1746,506897,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01705078125,0.016275774250670384,0.017862021841934844,0.215224609375,4.096198049120139
seq,primary,ood_dev,10000,24,102400,0,1757,508654,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017158203125,0.016380742477780357,0.01797188930542586,0.20697184244791667,4.096443514716811
seq,primary,ood_dev,10000,25,102400,0,1670,510324,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01630859375,0.01555076571978533,0.01710271105594033,0.1993453125,4.096003307097126
seq,primary,ood_dev,10000,26,102400,0,1684,512008,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0164453125,0.015684289562204114,0.017242614456104623,0.19231069711538462,4.096335193095729
seq,primary,ood_dev,10000,27,102400,0,1744,513752,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01703125,0.016256689990451302,0.0178420450674992,0.18581886574074075,4.096203014764469
seq,primary,ood_dev,10000,28,102400,0,1791,515543,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017490234375,0.016705240370903412,0.018311429001433132,0.17980712890625,4.096470903244335
seq,primary,ood_dev,10000,29,102400,0,1686,517229,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01646484375,0.015703365535630627,0.017262599517332833,0.17417463631465518,4.096310041632969
seq,primary,ood_dev,10000,30,102400,0,1696,518925,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0165625,0.01579874964096129,0.017362520585275803,0.1689208984375,4.096243848011364
seq,primary,ood_dev,10000,31,102400,0,1657,520582,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016181640625,0.015426791892705764,0.01697278815776418,0.16399382560483872,4.096220273389481
seq,primary,ood_dev,10000,32,102400,0,1718,522300,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01677734375,0.016008619293442074,0.017582322313996996,0.159393310546875,4.095874779140576
seq,primary,ood_dev,10000,33,102400,0,1704,524004,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016640625,0.01587506198163439,0.0174424523832216,0.15506747159090908,4.0963547348650176
seq,primary,ood_dev,10000,34,102400,0,1676,525680,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0163671875,0.01560798851048257,0.017162671369207273,0.15098805147058825,4.096063864701428
seq,primary,ood_dev,10000,35,102400,0,1769,527449,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017275390625,0.016495262462912757,0.018091735528221815,0.14716768973214286,4.0960364366672
seq,primary,ood_dev,10000,36,102400,0,1706,529155,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01666015625,0.015894140765027154,0.017462434634483562,0.14354248046875,4.096186327284667
seq,primary,dev,25000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.01710725238997089
seq,primary,dev,25000,2,102400,100694,100694,203094,204800,0.98333984375,0.9825375653655165,0.9841058592349728,0.98333984375,0.9825375653655165,0.9841058592349728,0.991669921875,0.07432223840150012
seq,primary,dev,25000,3,102400,100505,102124,305218,307200,0.981494140625,0.9806504352306518,0.9823017215949659,0.9973046875,0.9969679373533121,0.9976041270253059,0.9935481770833333,0.010642535276559444
seq,primary,dev,25000,4,102400,98728,99730,404948,409600,0.964140625,0.9629842438163991,0.9652621837184951,0.97392578125,0.9729318214198084,0.9748841844771032,0.988642578125,0.08636901946775492
seq,primary,dev,25000,5,102400,89862,91533,496481,512000,0.87755859375,0.8755367111752987,0.8795521497351979,0.893876953125,0.8919757202341261,0.8957486351303936,0.969689453125,0.340979262495115
seq,primary,dev,25000,6,102400,54780,58619,555100,614400,0.5349609375,0.531904734730418,0.5380145173015403,0.572451171875,0.5694183870648037,0.5754785209869002,0.9034830729166666,1.428527625465785
seq,primary,dev,25000,7,102400,14681,19292,574392,716800,0.143369140625,0.14123605737158032,0.14552898035046138,0.1883984375,0.18601512817441002,0.19080512494410107,0.801328125,3.066771628734138
seq,primary,dev,25000,8,102400,2653,6427,580819,819200,0.025908203125,0.024952834730634085,0.02689914057788911,0.062763671875,0.06129449685054819,0.06426565085144181,0.709007568359375,3.7858651674519788
seq,primary,dev,25000,9,102400,357,3050,583869,921600,0.003486328125,0.0031434665138013167,0.003866441011097124,0.02978515625,0.028761470616859762,0.030844120070626417,0.6335384114583333,4.014432777821261
seq,primary,dev,25000,10,102400,44,2119,585988,1024000,0.0004296875,0.00032011930198977835,0.0005767362994441386,0.020693359375,0.019839257891671375,0.02158342116404014,0.57225390625,4.076132441283553
seq,primary,dev,25000,11,102400,5,1934,587922,1126400,4.8828125e-05,2.0856631032296734e-05,0.0001143087946344752,0.01888671875,0.018070836802337807,0.0197386965478116,0.5219477982954546,4.09135448082874
