update,role,length,words,E_seq,E_seq_rope,E_delta_pp,A_seq,A_seq_rope,A_delta_pp,M_seq,M_seq_rope,M_delta_pp
10000,dev,1,102400,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
10000,dev,2,102400,0.9828125,0.98333984375,0.05273437500000755,0.9828125,0.98333984375,0.05273437500000755,0.99140625,0.991669921875,0.026367187499998224
10000,dev,3,102400,0.979072265625,0.98138671875,0.23144531250000044,0.98548828125,0.997060546875,1.1572265625000022,0.98943359375,0.993466796875,0.40332031249999956
10000,dev,4,102400,0.9170703125,0.974248046875,5.717773437499996,0.920966796875,0.98109375,6.012695312499994,0.97231689453125,0.99037353515625,1.8056640625000009
10000,dev,5,102400,0.618427734375,0.9446484375,32.62207031250001,0.653291015625,0.966689453125,31.339843749999996,0.90851171875,0.98563671875,7.7125
10000,dev,6,102400,0.086181640625,0.865888671875,77.970703125,0.106416015625,0.901044921875,79.462890625,0.7748291015625,0.9715380859375,19.670898437500007
10000,dev,7,102400,0.00873046875,0.15033203125,14.16015625,0.03162109375,0.17279296875,14.1171875,0.6686565290178571,0.857431640625,18.87751116071429
10000,dev,8,102400,0.00083984375,0.01072265625,0.9882812500000001,0.01919921875,0.038017578125,1.8818359375,0.587474365234375,0.7550048828125,16.7530517578125
10000,dev,9,102400,5.859375e-05,0.000595703125,0.05371093750000001,0.017158203125,0.020380859375,0.32226562500000006,0.5241059027777778,0.6733799913194445,14.927408854166668
10000,dev,10,102400,9.765625e-06,0.0,-0.0009765625,0.01662109375,0.017802734375,0.11816406250000008,0.473357421875,0.607822265625,13.446484374999995
10000,dev,11,102400,0.0,0.0,0.0,0.015830078125,0.01658203125,0.07519531249999996,0.43176402698863636,0.5540731534090909,12.230912642045455
10000,dev,12,102400,0.0,0.0,0.0,0.016865234375,0.01658203125,-0.028320312499999917,0.3971891276041667,0.5092822265625,11.20930989583333
10000,ood_dev,1,102400,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
10000,ood_dev,2,102400,0.983037109375,0.9834765625,0.04394531250000444,0.983037109375,0.9834765625,0.04394531250000444,0.9915185546875,0.99173828125,0.021972656249991118
10000,ood_dev,3,102400,0.979296875,0.9815234375,0.22265625000000844,0.985107421875,0.996904296875,1.179687500000004,0.9893815104166667,0.9934602864583333,0.4078776041666621
10000,ood_dev,4,102400,0.916328125,0.9748046875,5.84765625,0.92017578125,0.981337890625,6.1162109375,0.972080078125,0.9904296875,1.8349609375000075
10000,ood_dev,5,102400,0.61892578125,0.944287109375,32.53613281250001,0.654619140625,0.96599609375,31.137695312499993,0.908587890625,0.98554296875,7.6955078125000025
10000,ood_dev,6,102400,0.0860546875,0.86533203125,77.927734375,0.10564453125,0.901572265625,79.5927734375,0.7747639973958333,0.9715478515625,19.678385416666664
10000,ood_dev,7,102400,0.008701171875,0.148203125,13.9501953125,0.031279296875,0.170302734375,13.902343749999998,0.6685518973214286,0.8570842633928571,18.853236607142854
10000,ood_dev,8,102400,0.000732421875,0.010283203125,0.9550781249999999,0.0194140625,0.0366015625,1.7187499999999998,0.58740966796875,0.75452392578125,16.71142578125
10000,ood_dev,9,102400,0.0001171875,0.0004296875,0.03125,0.017470703125,0.019990234375,0.25195312499999983,0.5240831163194445,0.6729090711805555,14.882595486111105
10000,ood_dev,10,102400,0.0,2.9296875e-05,0.0029296875,0.017353515625,0.017216796875,-0.013671875000000056,0.47341015625,0.60733984375,13.392968750000007
10000,ood_dev,11,102400,0.0,0.0,0.0,0.016064453125,0.017099609375,0.10351562500000022,0.43183327414772726,0.553681640625,12.184836647727277
10000,ood_dev,12,102400,0.0,0.0,0.0,0.016943359375,0.017109375,0.01660156249999982,0.39725911458333335,0.50896728515625,11.170817057291666
10000,ood_dev,13,102400,0.0,0.0,0.0,0.0167578125,0.016533203125,-0.02246093750000004,0.36798978365384616,0.47108774038461537,10.309795673076922
10000,ood_dev,14,102400,0.0,0.0,0.0,0.016279296875,0.01611328125,-0.016601562500000167,0.34286760602678573,0.43858956473214283,9.57219587053571
10000,ood_dev,15,102400,0.0,0.0,0.0,0.016552734375,0.016640625,0.008789062499999986,0.32111328125,0.4104596354166667,8.93463541666667
10000,ood_dev,16,102400,0.0,0.0,0.0,0.0177734375,0.017353515625,-0.04199218749999997,0.302154541015625,0.3858905029296875,8.373596191406252
10000,ood_dev,17,102400,0.0,0.0,0.0,0.016435546875,0.01625,-0.018554687499999778,0.2853475413602941,0.3641469439338235,7.879940257352941
10000,ood_dev,18,102400,0.0,0.0,0.0,0.016494140625,0.016943359375,0.04492187500000008,0.27041124131944444,0.3448578559027778,7.444661458333335
10000,ood_dev,19,102400,0.0,0.0,0.0,0.01662109375,0.01693359375,0.03125000000000003,0.25705386513157896,0.3275986842105263,7.054481907894733
10000,ood_dev,20,102400,0.0,0.0,0.0,0.016259765625,0.01611328125,-0.014648437499999861,0.24501416015625,0.3120244140625,6.701025390624999
10000,ood_dev,21,102400,0.0,0.0,0.0,0.01623046875,0.016376953125,0.014648437499999861,0.23411969866071428,0.2979459635416667,6.382626488095242
10000,ood_dev,22,102400,0.0,0.0,0.0,0.0166015625,0.01703125,0.042968750000000125,0.2242325106534091,0.28517711292613634,6.094460227272725
