error,error_type,integrity_errors,observation,report,schema,sha256,status,wandb
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/data/numerical/length17/manifest.json,cdrm-fuzzy-preparation-v1,d76560648e95818a617178cdf79bbe72aebd4eeafbb669407ec57f77de3109d2,complete,
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/data/numerical/length256/manifest.json,cdrm-fuzzy-preparation-v1,4b4b143f852acbe42617e6d7494392e8c7d917e88eb3615e24765cf177cc266e,complete,
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/data/numerical/length300/manifest.json,cdrm-fuzzy-preparation-v1,2458dd4bfc9db87801d4db4aeb651731c0b41712a568802a5b9dc976fdf3541a,complete,
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/data/numerical/length32/manifest.json,cdrm-fuzzy-preparation-v1,b58e6674d9f49592c26540d6e3d8fd7c0a12850e7306f2b3386337fcc6f03e47,complete,
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/initialization/calibration/report.json,cdrm-fuzzy-paired-initialization-v1,f32bc48cec4fb89d2b62291bc51266085bc18a19e380cc49ada6f151f53f7d2a,complete,
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/numerical/initial-seq-t300-b128/report.json,cdrm-fuzzy-numerical-v1,003f007eec7e3c2984cf33e816d105601ed3c7ff131eab7b3cd79d76e1a41e1e,diagnostics_complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""num-initial-seq-t300-b128"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""g7ua87j0"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/g7ua87j0"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/numerical/initial-t128-b2/report.json,cdrm-fuzzy-numerical-v1,41270c9dcc7e81428a43d631b3c13221417f052504ada8135f67d7e7c3b730b4,diagnostics_complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""num-initial-cdrm-t128-b2"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""vvh6pdn8"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/vvh6pdn8"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/numerical/initial-t256-b2/report.json,cdrm-fuzzy-numerical-v1,5bd11e3679820002bab5dc8b73a95e70efdff91134617bf6999bfbcec6b37fa1,diagnostics_complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""num-initial-cdrm-t256-b2"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""841wigd2"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/841wigd2"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/numerical/initial-t300-b128/report.json,cdrm-fuzzy-numerical-v1,b4f23f73e8b767aa4894b6504f15a24cef6ec146ae7d07433b5adaa610018414,diagnostics_complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""num-initial-cdrm-t300-b128"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""urdof1f5"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/urdof1f5"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/numerical/initial-t300-b2/report.json,cdrm-fuzzy-numerical-v1,715852494ad4c4b6f13ff8d4b5eb389e01f009a812f954262854572c53a469a8,diagnostics_complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""num-initial-cdrm-t300-b2"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""ri8lyxns"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/ri8lyxns"", ""status"": ""synced"", ""system_stats"": false}"
