arm,update,role,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
six_layers,1000,dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0022346321422472217
six_layers,1000,dev,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.008247190304025195
six_layers,1000,dev,3,102400,102343,102343,307143,307200,0.999443359375,0.9992789510277558,0.9995702966455544,0.999443359375,0.9992789510277558,0.9995702966455544,0.999814453125,0.015147819321256577
six_layers,1000,dev,4,102400,102015,102063,409206,409600,0.996240234375,0.9958463114681899,0.9965969265217454,0.996708984375,0.9963390734108176,0.9970416294108312,0.9990380859375,0.025622060852162745
six_layers,1000,dev,5,102400,101083,101364,510570,512000,0.987138671875,0.9864300402382796,0.9878107556025538,0.9898828125,0.989251228937778,0.9904776422720443,0.99720703125,0.04371854988256757
six_layers,1000,dev,6,102400,99472,100315,610885,614400,0.97140625,0.970367647575484,0.9724094848509682,0.979638671875,0.9787554725010302,0.9804858860323885,0.9942789713541667,0.06995479060443102
six_layers,1000,dev,7,102400,97096,98897,709782,716800,0.948203125,0.9468288556556211,0.9495437676010173,0.965791015625,0.9646601324663432,0.9668869524968754,0.9902092633928572,0.10414768613855131
six_layers,1000,dev,8,102400,94161,97242,807024,819200,0.919541015625,0.9178592499302636,0.9211913049705653,0.94962890625,0.9482723872439763,0.9509516915424568,0.98513671875,0.14439062439547798
six_layers,1000,dev,9,102400,90673,95363,902387,921600,0.885478515625,0.8835136071198111,0.8874145033431766,0.931279296875,0.9297135975602097,0.9328126391681092,0.9791525607638889,0.19324742880707418
six_layers,1000,dev,10,102400,86885,93314,995701,1024000,0.848486328125,0.8462771863314117,0.8506693244955262,0.91126953125,0.9095124295624785,0.9129957771620741,0.9723642578125,0.24655371464984113
six_layers,1000,dev,11,102400,82927,91214,1086915,1126400,0.809833984375,0.8074187765573492,0.8122259466878871,0.89076171875,0.8888364549901039,0.892657665346987,0.9649458451704546,0.30418568640842464
six_layers,1000,dev,12,102400,78874,89124,1176039,1228800,0.77025390625,0.7676672433139972,0.7728202932034381,0.8703515625,0.8682802120838697,0.8723951270390331,0.95706298828125,0.3662251254403759
six_layers,1000,ood_dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0022362349159904225
six_layers,1000,ood_dev,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.008163510978694149
six_layers,1000,ood_dev,3,102400,102352,102352,307152,307200,0.99953125,0.9993786192504616,0.9996464030787949,0.99953125,0.9993786192504616,0.9996464030787949,0.99984375,0.015075445252018937
six_layers,1000,ood_dev,4,102400,102061,102103,409255,409600,0.996689453125,0.9963185084727131,0.9970231333142809,0.997099609375,0.9967510616932448,0.9974108618214984,0.99915771484375,0.025094188093375464
