update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M
5000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
5000,2,102400,100708,100708,203108,204800,0.9834765625,0.9826774469962324,0.98423940484684,0.9834765625,0.9826774469962324,0.98423940484684,0.99173828125
5000,3,102400,99272,99355,302463,307200,0.969453125,0.9683813766949355,0.9704896522660441,0.970263671875,0.9692055336673806,0.97128652823177,0.984580078125
5000,4,102400,71894,72619,375082,409600,0.70208984375,0.6992811502495512,0.7048833753228926,0.709169921875,0.7063805276395951,0.7119436229951865,0.9157275390625
5000,5,102400,7032,8059,383141,512000,0.068671875,0.06713904444552782,0.07023706623951659,0.078701171875,0.07706767178934998,0.08036628019089595,0.748322265625
5000,6,102400,467,2265,385406,614400,0.004560546875,0.004166041109747333,0.004992223321161003,0.022119140625,0.02123611239307098,0.023038022192435482,0.6272884114583334
5000,7,102400,26,1769,387175,716800,0.00025390625,0.00017328628934902828,0.00037202000019236027,0.017275390625,0.016495262462912757,0.018091735528221815,0.5401436941964286
5000,8,102400,0,1716,388891,819200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0167578125,0.01598953884727668,0.017562341725507667,0.474720458984375
5000,9,102400,0,1611,390502,921600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.015732421875,0.014988214823726314,0.016512961429684947,0.42372178819444445
5000,10,102400,0,1717,392219,1024000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016767578125,0.01599907903589678,0.01757233205421493,0.3830263671875
5000,11,102400,0,1663,393882,1126400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016240234375,0.015484009065332125,0.017032754089101997,0.34968217329545453
5000,12,102400,0,1679,395561,1228800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016396484375,0.01563660087091516,0.017192650560756764,0.32190836588541666
5000,13,102400,0,1722,397283,1331200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01681640625,0.016046781011694225,0.017622282665054292,0.29843975360576924
5000,14,102400,0,1738,399021,1433600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01697265625,0.016199438828229357,0.017782113125756963,0.2783349609375
5000,15,102400,0,1689,400710,1536000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016494140625,0.01573198002662403,0.017292576578321527,0.26087890625
5000,16,102400,0,1753,402463,1638400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017119140625,0.016342571276687833,0.017931938437208937,0.2456439208984375
5000,17,102400,0,1759,404222,1740800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017177734375,0.016399828478305734,0.017991864339555207,0.23220473345588236
5000,18,102400,0,1654,405876,1843200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01615234375,0.015398184286100883,0.01694280421238697,0.22020182291666668
5000,19,102400,0,1650,407526,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01611328125,0.01536004183054854,0.01690282459862987,0.2094603207236842
5000,20,102400,0,1754,409280,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01712890625,0.016352113976826295,0.017941926254397833,0.19984375
5000,21,102400,0,1697,410977,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016572265625,0.01580828843853085,0.0173725123050336,0.19111653645833335
5000,22,102400,0,1789,412766,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017470703125,0.016686150166160145,0.018291458171521675,0.1832235440340909
5000,23,102400,0,1674,414440,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01634765625,0.015588913960546404,0.0171426848844887,0.1759680706521739
5000,24,102400,0,1773,416213,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017314453125,0.01653343790675967,0.01813168215368435,0.16935750325520835
5000,25,102400,0,1736,417949,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016953125,0.01618035564849098,0.017762135270840616,0.163261328125
5000,26,102400,0,1703,419652,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016630859375,0.01586552269446015,0.017432461153068485,0.15762169471153847
5000,27,102400,0,1780,421432,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0173828125,0.016600247462472947,0.018201586219262614,0.15242766203703703
5000,28,102400,0,1631,423063,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.015927734375,0.015178881208795401,0.01671290539116311,0.1475526646205357
5000,29,102400,0,1719,424782,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016787109375,0.016018159619853447,0.01759231250491299,0.14304350754310344
5000,30,102400,0,1687,426469,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016474609375,0.015712903628576462,0.017272591941714363,0.13882454427083332
5000,31,102400,0,1788,428257,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0174609375,0.01667660516107908,0.018281472659275374,0.13490958921370969
5000,32,102400,0,1773,430030,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017314453125,0.01653343790675967,0.01813168215368435,0.1312347412109375
5000,33,102400,0,1643,431673,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016044921875,0.015293295349832233,0.016832857458054636,0.127744140625
5000,34,102400,0,1739,433412,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016982421875,0.016208980519679686,0.017792101951634,0.12448644301470588
5000,35,102400,0,1755,435167,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017138671875,0.016361656743758564,0.01795191400479293,0.12141936383928571
5000,36,102400,0,1726,436893,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01685546875,0.016084943828035953,0.017662241918022018,0.11851481119791667
10000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
10000,2,102400,100663,100663,203063,204800,0.983037109375,0.9822278757678217,0.9838101027955194,0.983037109375,0.9822278757678217,0.9838101027955194,0.9915185546875
10000,3,102400,100280,100875,303938,307200,0.979296875,0.9784066122672529,0.9801511781597082,0.985107421875,0.9843471499215307,0.9858312983152112,0.9893815104166667
10000,4,102400,93832,94226,398164,409600,0.916328125,0.9146165159723147,0.9180084987278119,0.92017578125,0.9185000032309285,0.921820035296179,0.972080078125
