setting_label,task,preset,topology,seed,report,evidence,setting_id,depth,width,heads,length,data_sha256,update,epoch,native_loss,native_targets,input_tokens,learning_rate,gradient_norm,seconds,cumulative_recorded_update_seconds
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,13,1,2.6544294357299805,12288,32768,0.0005,0.6617788672447205,0.04540912600350566,0.7435335399932228
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,14,1,2.659688949584961,12288,32768,0.0005,0.7951717972755432,0.04533712100237608,0.7888706609955989
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,15,1,2.6539506912231445,12288,32768,0.0005,0.6305930018424988,0.045372916996711865,0.8342435779923107
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,16,1,2.6505892276763916,12288,32768,0.0005,0.5233568549156189,0.04541908598912414,0.8796626639814349
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,17,1,2.646578550338745,12288,32768,0.0005,0.46791914105415344,0.04535786200722214,0.925020525988657
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,18,1,2.6473121643066406,12288,32768,0.0005,0.5105721950531006,0.04552636299922597,0.970546888987883
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,19,1,2.6452834606170654,12288,32768,0.0005,0.4480089843273163,0.04531077500723768,1.0158576639951207
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,20,1,2.6431002616882324,12288,32768,0.0005,0.38032329082489014,0.045406728007947095,1.0612643920030678
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,21,1,2.6421618461608887,12288,32768,0.0005,0.337968111038208,0.04535008101083804,1.1066144730139058
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,22,1,2.645314931869507,12288,32768,0.0005,0.4458673596382141,0.04546215001028031,1.1520766230241861
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,23,1,2.6493277549743652,12288,32768,0.0005,0.5446325540542603,0.04530865700508002,1.1973852800292661
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,24,1,2.6446313858032227,12288,32768,0.0005,0.40312233567237854,0.04538095599855296,1.242766236027819
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,25,1,2.6420443058013916,12288,32768,0.0005,0.3410807251930237,0.045543986998382024,1.2883102230262011
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,26,1,2.640099287033081,12288,32768,0.0005,0.2624410390853882,0.04560037699411623,1.3339106000203174
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,27,1,2.640042781829834,12288,32768,0.0005,0.2781638205051422,0.0455629299976863,1.3794735300180037
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,28,1,2.640192985534668,12288,32768,0.0005,0.2777577042579651,0.045518811006331816,1.4249923410243355
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,29,1,2.641901969909668,12288,32768,0.0005,0.3667755722999573,0.045480661996407434,1.470473003020743
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,30,1,2.6407203674316406,12288,32768,0.0005,0.30495667457580566,0.045353420995525084,1.515826424016268
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,31,1,2.640469551086426,12288,32768,0.0005,0.29042136669158936,0.04547721799463034,1.5613036420108983
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,32,1,2.6400489807128906,12288,32768,0.0005,0.3042868971824646,0.04538975800096523,1.6066934000118636
