task,preset,seed,setting_id,depth,common_epochs,common_updates,physical_batch,shuffle_seed,initial_weights_bitwise_equal,indices_verified,stream_chain_sha256
selective-copying,d128_6,0,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,45,4500,128,45678,True,4500,5eb9d1bdd5ef105d99b596cebd1da1a892c258beeaf0d4eaf64395c59c0803c8
selective-copying,d128_6,1,0231e5acea4f870fe17c004a4d14c3fafadd9db343d2761bd392a9adec9a96e2,6,45,4500,128,45678,True,4500,5eb9d1bdd5ef105d99b596cebd1da1a892c258beeaf0d4eaf64395c59c0803c8
