setting_label,task,preset,topology,seed,report,evidence,setting_id,depth,width,heads,length,data_sha256,update,epoch,native_loss,native_targets,input_tokens,learning_rate,gradient_norm,seconds,cumulative_recorded_update_seconds
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,16,1,2.0339245796203613,4064,4064,0.0005,1.014743447303772,0.3325823949999176,5.4919440299563576
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,17,2,1.9628106355667114,4064,4064,0.0004999692198041743,0.650686502456665,0.3335747990058735,5.825518828962231
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,18,2,1.9886105060577393,4064,4064,0.0004999692198041743,0.9982366561889648,0.3277899060049094,6.1533087349671405
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,19,2,1.985841989517212,4064,4064,0.0004999692198041743,1.0478309392929077,0.32867017699754797,6.4819789119646885
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,20,2,1.9796899557113647,4064,4064,0.0004999692198041743,0.7108035087585449,0.3428974309936166,6.824876342958305
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,21,2,1.969861388206482,4064,4064,0.0004999692198041743,0.9900225400924683,0.32285566501377616,7.147732007972081
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,22,2,1.9682732820510864,4064,4064,0.0004999692198041743,0.886491596698761,0.32966599900100846,7.47739800697309
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,23,2,1.9615012407302856,4064,4064,0.0004999692198041743,0.6361786127090454,0.3336541400058195,7.811052146978909
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,24,2,1.9355950355529785,4064,4064,0.0004999692198041743,0.7493718862533569,0.3291666859877296,8.140218832966639
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,25,2,1.981009840965271,4064,4064,0.0004999692198041743,0.804882824420929,0.3230070449935738,8.463225877960213
