setting_label,task,preset,topology,seed,report,evidence,setting_id,depth,width,heads,length,data_sha256,epoch,update,cumulative_recorded_update_seconds,ce,token_accuracy,sequence_exact_match,targets,examples,native_ce
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-resume-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,2,32,12.215263955964474,1.7506688336586727,0.3195761293920803,0.0,1793,32,1.9608679343396285
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-resume-v3/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,0,0,0.0,3.141955859157139,0.10206358059118795,0.0,1793,32,3.270179568313238
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-resume-v3/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,1,16,5.513142467942089,1.8422813436802845,0.30953708867819296,0.0,1793,32,2.003917183463029
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-resume-v3/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,2,32,12.191480655921623,1.7506688336586727,0.3195761293920803,0.0,1793,32,1.9608679343396285
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,0,0,0.0,2.9817709241594588,0.13783482142857142,0.0,1792,32,3.205105038139764
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,1,1,0.5432517129956977,3.8946657180786133,0.10044642857142858,0.0,1792,32,3.7491209976316435
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,2,2,0.8770646059856517,3.538942881992885,0.14006696428571427,0.0,1792,32,3.4525759238896407
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,3,3,1.2047595839831047,3.2616861888340543,0.14620535714285715,0.0,1792,32,3.036378274752399
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,4,4,1.5342584099853411,3.0178451538085938,0.14732142857142858,0.0,1792,32,2.8770356666384718
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,5,5,1.8596120089787291,2.757366452898298,0.17466517857142858,0.0,1792,32,2.696690717081385
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,6,6,2.1997984479821753,2.4745497022356306,0.15848214285714285,0.0,1792,32,2.51008041261688
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,7,7,2.5347610379831167,2.193295478820801,0.19029017857142858,0.0,1792,32,2.355898879644439
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,8,8,2.8620537399838213,2.0779931204659596,0.20982142857142858,0.0,1792,32,2.2598034716027926
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,9,9,3.1962260639847955,2.1079774584089006,0.21930803571428573,0.0,1792,32,2.214719396876538
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-tiny-fit-v2/report.json,OPS,8bdc2fe4e9c1f5e88c4a04274177862f43f8f482bb8e446019959c2207708912,12,128,16,127,7907a394745e4910c1206fb8276d0b40e06b4ecb9e50aeeaf1692487037f8df3,10,10,3.5292327529896284,2.125879560198103,0.22209821428571427,0.0,1792,32,2.1944167970672366
