update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M
5000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
5000,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
5000,3,102400,102400,102400,307200,307200,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
5000,4,102400,102400,102400,409600,409600,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
5000,5,102400,102400,102400,512000,512000,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
5000,6,102400,102395,102395,614395,614400,0.999951171875,0.9998856912053655,0.9999791433689678,0.999951171875,0.9998856912053655,0.9999791433689678,0.9999918619791667
5000,7,102400,102376,102378,716773,716800,0.999765625,0.9996512662615883,0.999842488483525,0.99978515625,0.9996747063713258,0.9998581094084422,0.9999623325892857
5000,8,102400,102331,102341,819114,819200,0.999326171875,0.9991474062701934,0.9994674751951885,0.999423828125,0.9992569299552471,0.9995532566834086,0.99989501953125
5000,9,102400,102216,102255,921369,921600,0.998203125,0.997924370529382,0.9984445014433533,0.998583984375,0.9983342110358201,0.9987963511126822,0.9997493489583333
5000,10,102400,101999,102072,1023441,1024000,0.996083984375,0.9956823971652414,0.9964483525474562,0.996796875,0.9964316543469756,0.9971248231306196,0.9994541015625
5000,11,102400,101533,101685,1125126,1126400,0.991533203125,0.9909532802070109,0.9920762484311358,0.993017578125,0.9924887468795529,0.9935094203923529,0.9988689630681818
5000,12,102400,100609,100915,1226041,1228800,0.982509765625,0.981688570998567,0.9832947596290966,0.985498046875,0.9847474056794521,0.9862122632503842,0.9977547200520833
5000,13,102400,92240,92855,1318896,1331200,0.90078125,0.898935119403059,0.9025973117119059,0.906787109375,0.9049911258064888,0.9085525734648042,0.9907572115384615
5000,14,102400,42437,44497,1363393,1433600,0.414423828125,0.4114098371445662,0.41744423951575454,0.434541015625,0.43150744123271,0.43757950112197785,0.9510274832589286
