update,precision,native_ce,answer_ce,answer_token_accuracy,answer_sequence_exact_match
0,fp32,3.315024455388387,3.315024455388387,0.0614013671875,0.0
0,bf16,3.315694014231364,3.315694014231364,0.0615234375,0.0
50,fp32,2.6335254510243735,2.6335254510243735,0.08052571614583333,0.0
50,bf16,2.6337407430013022,2.6337407430013022,0.08085123697916667,0.0
100,fp32,2.584586977958679,2.584586977958679,0.1148681640625,0.0
100,bf16,2.5844819943110147,2.5844819943110147,0.1138916015625,0.0
