update,fp32_native_ce,bf16_native_ce,bf16_minus_fp32_ce
1,3.331298351287842,3.332096815109253,0.0007984638214111328
2,2.951449155807495,2.950843334197998,-0.0006058216094970703
3,2.7800025939941406,2.7798686027526855,-0.00013399124145507812
4,2.665851593017578,2.665815830230713,-3.5762786865234375e-05
5,2.7003800868988037,2.7009363174438477,0.0005562305450439453
6,2.7004528045654297,2.7008635997772217,0.0004107952117919922
7,2.6666419506073,2.666903018951416,0.00026106834411621094
8,2.6501452922821045,2.6503500938415527,0.0002048015594482422
9,2.651256799697876,2.6513173580169678,6.0558319091796875e-05
10,2.6631040573120117,2.6632192134857178,0.00011515617370605469
11,2.655942440032959,2.6563901901245117,0.0004477500915527344
12,2.6506996154785156,2.6510813236236572,0.00038170814514160156
13,2.6407229900360107,2.6407265663146973,3.5762786865234375e-06
14,2.644192695617676,2.6441116333007812,-8.106231689453125e-05
15,2.6451215744018555,2.6452889442443848,0.00016736984252929688
16,2.6490206718444824,2.649409294128418,0.0003886222839355469
17,2.649357318878174,2.6496076583862305,0.0002503395080566406
18,2.6437671184539795,2.643876552581787,0.00010943412780761719
19,2.641289234161377,2.641282081604004,-7.152557373046875e-06
20,2.6415793895721436,2.641756534576416,0.00017714500427246094
21,2.6429975032806396,2.6430764198303223,7.891654968261719e-05
22,2.644409656524658,2.6445345878601074,0.00012493133544921875
23,2.644111394882202,2.6440720558166504,-3.933906555175781e-05
24,2.6461830139160156,2.6462152004241943,3.218650817871094e-05
25,2.6412973403930664,2.641284227371216,-1.3113021850585938e-05
26,2.637767791748047,2.6377968788146973,2.9087066650390625e-05
27,2.6406023502349854,2.6406965255737305,9.417533874511719e-05
28,2.6421432495117188,2.6423258781433105,0.00018262863159179688
29,2.6435208320617676,2.6434829235076904,-3.790855407714844e-05
30,2.638864040374756,2.638822078704834,-4.1961669921875e-05
31,2.639835834503174,2.6400487422943115,0.0002129077911376953
32,2.639136791229248,2.6393089294433594,0.00017213821411132812
33,2.63989520072937,2.6399407386779785,4.553794860839844e-05
34,2.6384201049804688,2.638406753540039,-1.33514404296875e-05
35,2.640106678009033,2.6400957107543945,-1.0967254638671875e-05
36,2.638179302215576,2.638190746307373,1.1444091796875e-05
37,2.638090133666992,2.638105630874634,1.5497207641601562e-05
38,2.6375844478607178,2.637723445892334,0.00013899803161621094
39,2.6351869106292725,2.6351301670074463,-5.6743621826171875e-05
40,2.63564395904541,2.6355838775634766,-6.008148193359375e-05
41,2.639106273651123,2.6391396522521973,3.337860107421875e-05
42,2.633817434310913,2.634050130844116,0.000232696533203125
43,2.6348471641540527,2.6349096298217773,6.246566772460938e-05
44,2.6333491802215576,2.6332387924194336,-0.00011038780212402344
45,2.6319527626037598,2.632021188735962,6.842613220214844e-05
46,2.635524034500122,2.6357059478759766,0.0001819133758544922
47,2.63336443901062,2.6336231231689453,0.0002586841583251953
48,2.6314268112182617,2.6316471099853516,0.00022029876708984375
49,2.631899356842041,2.6319589614868164,5.9604644775390625e-05
50,2.632326602935791,2.6321210861206055,-0.00020551681518554688
51,2.6309103965759277,2.631131649017334,0.00022125244140625
52,2.632889986038208,2.6331067085266113,0.0002167224884033203
53,2.6276817321777344,2.62777042388916,8.869171142578125e-05
54,2.6281399726867676,2.628211498260498,7.152557373046875e-05
55,2.62896728515625,2.6290159225463867,4.863739013671875e-05
56,2.6298441886901855,2.63008451461792,0.000240325927734375
57,2.626246213912964,2.626509666442871,0.00026345252990722656
58,2.6251323223114014,2.6252079010009766,7.557868957519531e-05
59,2.6253116130828857,2.6254067420959473,9.512901306152344e-05
60,2.6261234283447266,2.625950574874878,-0.0001728534698486328
61,2.621269702911377,2.6214349269866943,0.0001652240753173828
62,2.6256284713745117,2.6260769367218018,0.00044846534729003906
63,2.620062828063965,2.620331287384033,0.0002684593200683594
64,2.619485855102539,2.619696617126465,0.00021076202392578125
65,2.62074613571167,2.620598077774048,-0.0001480579376220703
66,2.626969575881958,2.6272034645080566,0.0002338886260986328
67,2.6132359504699707,2.614161968231201,0.0009260177612304688
68,2.6138203144073486,2.6152467727661133,0.0014264583587646484
69,2.6217565536499023,2.6208395957946777,-0.0009169578552246094
70,2.6116538047790527,2.612169027328491,0.0005152225494384766
71,2.616424560546875,2.618407964706421,0.0019834041595458984
72,2.614022731781006,2.614621877670288,0.0005991458892822266
73,2.610849380493164,2.6111555099487305,0.00030612945556640625
74,2.614959478378296,2.6161484718322754,0.0011889934539794922
75,2.6126627922058105,2.612060546875,-0.0006022453308105469
76,2.606218099594116,2.606323719024658,0.00010561943054199219
77,2.604435443878174,2.6044960021972656,6.0558319091796875e-05
78,2.6099071502685547,2.6108784675598145,0.0009713172912597656
79,2.607752799987793,2.6097946166992188,0.0020418167114257812
80,2.606339454650879,2.607245922088623,0.0009064674377441406
81,2.6012258529663086,2.601597785949707,0.0003719329833984375
82,2.6031360626220703,2.604001522064209,0.0008654594421386719
83,2.6019551753997803,2.604058265686035,0.002103090286254883
84,2.602321147918701,2.604797840118408,0.0024766921997070312
85,2.6027534008026123,2.6031978130340576,0.0004444122314453125
86,2.6054697036743164,2.606687068939209,0.0012173652648925781
87,2.602468252182007,2.600038528442383,-0.0024297237396240234
88,2.6015548706054688,2.6019504070281982,0.0003955364227294922
89,2.593543767929077,2.5906949043273926,-0.0028488636016845703
90,2.59321665763855,2.5926074981689453,-0.0006091594696044922
91,2.594362735748291,2.5935215950012207,-0.0008411407470703125
92,2.598043441772461,2.596896171569824,-0.0011472702026367188
93,2.5963573455810547,2.596083641052246,-0.00027370452880859375
94,2.5938358306884766,2.592961311340332,-0.0008745193481445312
95,2.5904948711395264,2.5902929306030273,-0.00020194053649902344
96,2.593015670776367,2.5925936698913574,-0.0004220008850097656
97,2.587442636489868,2.5889036655426025,0.001461029052734375
98,2.590792179107666,2.589252233505249,-0.0015399456024169922
99,2.5879454612731934,2.588571548461914,0.0006260871887207031
100,2.5913453102111816,2.5909438133239746,-0.00040149688720703125
