arm,update,role,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
rt_nextlat_window2,1000,dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.009064755244155549
rt_nextlat_window2,1000,dev,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.07220083371463488
rt_nextlat_window2,1000,dev,3,102400,99968,99968,304768,307200,0.97625,0.9752993486202344,0.9771649204005894,0.97625,0.9752993486202344,0.9771649204005894,0.9920833333333333,0.17448701687751508
rt_nextlat_window2,1000,dev,4,102400,91323,92705,397473,409600,0.891826171875,0.8899090632940145,0.8937138834317591,0.905322265625,0.903513851016941,0.9071002706552477,0.97039306640625,0.33981357669524187
rt_nextlat_window2,1000,dev,5,102400,77326,82405,479878,512000,0.75513671875,0.7524934408288498,0.757760854865828,0.804736328125,0.802296988130391,0.8071528050699619,0.93726171875,0.5766741047495089
rt_nextlat_window2,1000,dev,6,102400,61145,71268,551146,614400,0.597119140625,0.5941114339704356,0.6001195608501864,0.6959765625,0.6931518512462923,0.6987865704792221,0.8970475260416667,0.8633800705479371
rt_nextlat_window2,1000,dev,7,102400,45430,60496,611642,716800,0.44365234375,0.4406115791409682,0.4466973358801491,0.59078125,0.5877663550025656,0.5937893340725982,0.8532952008928572,1.1739336170324897
rt_nextlat_window2,1000,dev,8,102400,31968,50901,662543,819200,0.3121875,0.30935640356746136,0.31503268719269933,0.497080078125,0.49401785359268613,0.5001425217264324,0.808768310546875,1.4783879857864668
rt_nextlat_window2,1000,dev,9,102400,21822,42887,705430,921600,0.21310546875,0.2106081039640782,0.2156243579926605,0.418818359375,0.4157996515601208,0.42184315789751314,0.7654405381944445,1.7576919300293958
rt_nextlat_window2,1000,dev,10,102400,14085,35739,741169,1024000,0.137548828125,0.1354528510438084,0.13967199835112515,0.349013671875,0.3460999066657336,0.35193876493591175,0.7237978515625,2.0112254546925032
rt_nextlat_window2,1000,dev,11,102400,7817,27762,768931,1126400,0.076337890625,0.0747273460273816,0.07798022075964256,0.27111328125,0.26839918154637804,0.27384455333489505,0.6826447088068182,2.3379850620258367
rt_nextlat_window2,1000,dev,12,102400,2845,17188,786119,1228800,0.027783203125,0.026794148118933013,0.028807686516443817,0.1678515625,0.16557495010616985,0.1701530945555701,0.6397452799479166,2.8997549871140653
rt_nextlat_window2,1000,ood_dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.009063896038071562
rt_nextlat_window2,1000,ood_dev,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.07219752418224061
