first_update,update,updates_in_bin,training_seconds,state_ce,token_accuracy,loss,latent_loss,weighted_latent_loss,latent_rms,predicted_latent_rms,latent_variation_rms,latent_relative_l2,latent_cosine,predicted_state_ce,teacher_predicted_kl
1,100,100,6.831225461004578,3.792737410068512,0.09574056211858988,3.824268789291382,0.03153136902488768,0.03153136902488768,0.9992156773805618,1.0123568177223206,0.2071804217994213,0.17886985838413239,0.9844588786363602,4.354621410369873,0.26023221388459206
101,200,100,12.349140910999267,3.7124120450019835,0.1069946313649416,3.727145698070526,0.01473366294056177,0.01473366294056177,0.9988533109426498,1.0025682300329208,0.28648994863033295,0.18645083904266357,0.9804744124412537,4.228905916213989,0.1600709892809391
201,300,100,17.853701016016203,3.4901914024353027,0.1678922575712204,3.5468523788452146,0.05666097916662693,0.05666097916662693,0.9991956800222397,0.9796594530344009,0.5515954941511154,0.36192280799150467,0.9188866913318634,4.211818695068359,0.34894076734781265
301,400,100,23.36655847701695,3.405561082363129,0.18533366441726684,3.4571766161918642,0.05161553371697664,0.05161553371697664,0.9998280256986618,0.9688251912593842,0.5881580412387848,0.3377498537302017,0.921891450881958,4.169067740440369,0.41965703666210175
401,500,100,28.942858765032724,3.393471570014954,0.1868530322611332,3.4405477237701416,0.0470761676505208,0.0470761676505208,0.9999418705701828,0.961726650595665,0.5842026919126511,0.32654113322496414,0.9253410845994949,4.145485877990723,0.4220697656273842
501,600,100,34.4990078320443,3.358058488368988,0.191854660063982,3.407498435974121,0.04943995155394077,0.04943995155394077,1.000043049454689,0.9597135633230209,0.588319405913353,0.3360033631324768,0.9227766543626785,4.136472821235657,0.452737033367157
601,700,100,40.02978983106732,2.9141425013542177,0.2580810621380806,3.0424177384376527,0.12827524699270726,0.12827524699270726,1.0017916858196259,0.8381463885307312,0.7607273608446121,0.5715415477752686,0.7639010101556778,4.159239888191223,0.9967984408140182
701,800,100,45.60743824806195,1.8562047016620635,0.4678930792212486,2.147997282743454,0.29179257482290266,0.29179257482290266,1.0062457919120789,0.6211754381656647,0.9301775544881821,0.8248995244503021,0.5020741447806358,4.140040040016174,1.965893715620041
801,900,100,51.18680257806773,1.4172732472419738,0.5763606953620911,1.748895572423935,0.3316223242878914,0.3316223242878914,1.0102054476737976,0.5675874948501587,0.9599670767784119,0.8730709403753281,0.43618838489055634,4.117010951042175,2.457520306110382
901,1000,100,56.77247583906865,1.201770756840706,0.6318050318956375,1.5362739527225495,0.3345031940937042,0.3345031940937042,1.0133534669876099,0.5612705498933792,0.9661475419998169,0.8623593747615814,0.4568215236067772,4.001060366630554,2.5954644680023193
1001,1100,100,62.32780510005978,1.0317553603649139,0.6774577045440674,1.3661564683914185,0.3344011119008064,0.3344011119008064,1.0160890221595764,0.5372778624296188,0.9776507467031479,0.8641517162322998,0.46348780393600464,3.8497278094291687,2.6768476366996765
1101,1200,100,67.90281235807561,0.8362399083375931,0.7323576033115387,1.1695640689134599,0.33332415997982023,0.33332415997982023,1.0184333622455597,0.5213746279478073,0.9860886335372925,0.8454348742961884,0.50515216588974,3.5766642093658447,2.589215934276581
1201,1300,100,73.4500847170857,0.793941633105278,0.7443123590946198,1.096456647515297,0.30251500964164735,0.30251500964164735,1.0194189846515656,0.5375219583511353,0.9874886572360992,0.8001175224781036,0.5885542929172516,3.1806182861328125,2.291439414024353
1301,1400,100,79.01617719206843,0.6929150167107582,0.7751261603832245,0.962225221991539,0.2693102057278156,0.2693102057278156,1.0197516977787018,0.559973418712616,0.996051162481308,0.7514092326164246,0.6645164787769318,2.7076876759529114,1.9346290230751038
1401,1500,100,84.60187666106867,0.6271509692072869,0.7953654187917709,0.8560109239816666,0.22885995343327523,0.22885995343327523,1.018862634897232,0.6476946622133255,0.9943922907114029,0.681007131934166,0.7380701899528503,2.194310963153839,1.5815497934818268
1501,1600,100,90.17776232208416,0.6042250064015389,0.8025032764673233,0.802933851480484,0.1987088456749916,0.1987088456749916,1.0177961885929108,0.7248187959194183,0.9926031976938248,0.6272771656513214,0.783104881644249,1.8116818964481354,1.2753314971923828
1601,1700,100,95.7440308600817,0.542365120947361,0.8205599135160446,0.728632988333702,0.18626786574721335,0.18626786574721335,1.01760733127594,0.7711904048919678,0.998308539390564,0.6164292544126511,0.7882210165262222,1.606407344341278,1.1107621639966965
1701,1800,100,101.33862464705453,0.4815619304776192,0.839646829366684,0.6652916216850281,0.1837296876311302,0.1837296876311302,1.0179014801979065,0.8027731627225876,1.000253438949585,0.609690859913826,0.7922272831201553,1.4307821691036224,0.9915682673454285
1801,1900,100,106.89425734804536,0.5206499630212784,0.8292326045036316,0.6996668636798858,0.1790168985724449,0.1790168985724449,1.0182603895664215,0.8241734206676483,0.9987265914678574,0.5996636301279068,0.7989796698093414,1.3713298439979553,0.8819017112255096
1901,2000,100,112.45100510003977,0.4580036249756813,0.8478304249048233,0.6395144179463387,0.1815107883512974,0.1815107883512974,1.018964558839798,0.8240610063076019,1.0017260015010834,0.6100254952907562,0.7908268421888351,1.2830703556537628,0.8849275410175323
2001,2100,100,118.03868715605131,0.4248326690495014,0.8589729994535447,0.6089782029390335,0.18414553225040436,0.18414553225040436,1.0195858180522919,0.8244052231311798,1.0014668256044388,0.6120274662971497,0.788565531373024,1.2342076003551483,0.8655873984098434
2101,2200,100,123.62197311302953,0.3868457327783108,0.8704769086837768,0.57899907797575,0.19215334683656693,0.19215334683656693,1.0206054747104645,0.8158470839262009,1.0045693516731262,0.6261337697505951,0.7772433906793594,1.2167422473430634,0.8677563369274139
2201,2300,100,129.20657158105678,0.3462696762382984,0.8829988813400269,0.5463682669401169,0.20009859144687653,0.20009859144687653,1.021574079990387,0.8058901429176331,1.0065240859985352,0.6336628794670105,0.7708699107170105,1.1480568945407867,0.8598365634679794
2301,2400,100,134.80754863404945,0.31991538405418396,0.8914607959985733,0.5217899906635285,0.20187460616230965,0.20187460616230965,1.0221816003322601,0.7940527945756912,1.007569819688797,0.6409873962402344,0.7643298208713531,1.1046772599220276,0.8441608399152756
2401,2500,100,140.35218432803958,0.26796125650405883,0.9104516780376435,0.48462424755096434,0.21666298776865006,0.21666298776865006,1.0232013165950775,0.7701169699430466,1.010991245508194,0.6647917628288269,0.7442368566989899,1.1101770997047424,0.8698873966932297
2501,2600,100,145.9414918440525,0.2939261780679226,0.9014005732536315,0.5009253653883934,0.20699918642640114,0.20699918642640114,1.0226484537124634,0.7767162472009659,1.0068619549274445,0.6461460590362549,0.7609472274780273,1.0211505740880966,0.8140710741281509
2601,2700,100,151.49782842904824,0.2656589699536562,0.9106950092315674,0.46821804404258727,0.20255907595157624,0.20255907595157624,1.0222813189029694,0.7626523077487946,1.0075592696666718,0.6371147185564041,0.7688420414924622,0.9430592656135559,0.7145488411188126
2701,2800,100,157.0257216050377,0.22739717654883862,0.9228759968280792,0.41754201501607896,0.19014483764767648,0.19014483764767648,1.021046370267868,0.7644870579242706,1.006188988685608,0.6142426282167435,0.7891043275594711,0.7944352626800537,0.6173818409442902
2801,2900,100,162.53187174902632,0.2157593598216772,0.9268221235275269,0.3890140101313591,0.1732546491920948,0.1732546491920948,1.0191098153591156,0.7820201367139816,1.0048661828041077,0.5839650183916092,0.8129720985889435,0.6805840134620667,0.5174827128648758
2901,3000,100,168.06044897203174,0.21336795821785925,0.927860534787178,0.3733710300922394,0.16000306978821754,0.16000306978821754,1.0174347758293152,0.8160382956266403,1.0023432672023773,0.5624697357416153,0.8269519209861755,0.5948091149330139,0.4556502550840378
3001,3100,100,173.57349141803206,0.20007533460855484,0.932336443066597,0.35243348211050035,0.15235814869403838,0.15235814869403838,1.0165042877197266,0.8325759619474411,1.0021138042211533,0.5574236214160919,0.829932764172554,0.5588307678699493,0.41533616185188293
3101,3200,100,179.0756750380424,0.1648351302742958,0.9439795100688935,0.3169358491897583,0.15210071861743926,0.15210071861743926,1.0165406167507172,0.8378279507160187,1.0040283799171448,0.5545397996902466,0.8317072242498398,0.4735343009233475,0.3733794763684273
3201,3300,100,184.5607789280548,0.15141365062445403,0.9489697450399399,0.30478206545114517,0.1533684153854847,0.1533684153854847,1.016602486371994,0.8386225551366806,1.004521369934082,0.548369362950325,0.835832804441452,0.4293768033385277,0.34470751881599426
3301,3400,100,190.083313310035,0.14583438977599145,0.9507991755008698,0.29534787982702254,0.14951349183917045,0.14951349183917045,1.0159608125686646,0.8291398882865906,1.0037385821342468,0.5515012592077255,0.833882749080658,0.3784700930118561,0.2975214496254921
3401,3500,100,195.5892582760207,0.16634004209190606,0.9443156123161316,0.31003288179636,0.14369283959269524,0.14369283959269524,1.0146110355854034,0.8300880938768387,1.0015505254268646,0.5362522304058075,0.8439259380102158,0.47912828624248505,0.3207256644964218
3501,3600,100,201.11535448905124,0.14209452521055937,0.9516829621791839,0.2715931382775307,0.1294986117631197,0.1294986117631197,1.0127453207969666,0.8344249278306961,0.9999925494194031,0.5076892599463463,0.8621826320886612,0.3379874601960182,0.2494853362441063
3601,3700,100,206.6889828070598,0.1583776945620775,0.9473104047775268,0.2726285734772682,0.11425087943673135,0.11425087943673135,1.010109394788742,0.8448842912912369,0.9973811656236649,0.47332148253917694,0.8822513967752457,0.31576621532440186,0.2164849415421486
3701,3800,100,212.22042439005963,0.13544370714575052,0.9539705622196197,0.23031316414475442,0.09486945651471615,0.09486945651471615,1.0071598589420319,0.8680906444787979,0.9939425140619278,0.428053118288517,0.9056146889925003,0.21250180527567863,0.16174554824829102
3801,3900,100,217.79589779807065,0.10730926968157291,0.9640592640638351,0.18626141518354417,0.07895214587450028,0.07895214587450028,1.0045026540756226,0.878876656293869,0.9936317950487137,0.3911214843392372,0.9224460572004318,0.15964914299547672,0.11325312778353691
3901,4000,100,223.33385485508916,0.12616180896759033,0.9576066267490387,0.18858585894107818,0.062424049749970435,0.062424049749970435,1.0016375482082367,0.9067765027284622,0.9902230650186539,0.34363339096307755,0.941169261932373,0.13139553554356098,0.08466888777911663
4001,4100,100,228.85150183209043,0.1078446513786912,0.9638151252269744,0.15699699960649013,0.049152348414063456,0.049152348414063456,0.9997304379940033,0.9282463490962982,0.9888203144073486,0.30526215583086014,0.9540907442569733,0.10628818720579147,0.07605495769530535
4101,4200,100,234.41522469907068,0.10404089115560054,0.9651025581359863,0.14426078215241434,0.04021989077329636,0.04021989077329636,0.9985560774803162,0.9456873536109924,0.9881148636341095,0.280603364109993,0.9613481163978577,0.10114003531634808,0.0765102906152606
4201,4300,100,239.91207318806846,0.08391615925356746,0.9718359565734863,0.11679170988500118,0.03287555079907179,0.03287555079907179,0.9980234503746033,0.9588581919670105,0.9880448132753372,0.25592750683426857,0.9678252339363098,0.0643372805789113,0.050547088496387005
4301,4400,100,245.3384184250499,0.09574543667957186,0.9679020375013352,0.12590284544974564,0.03015740841627121,0.03015740841627121,0.9978478848934174,0.9664648920297623,0.9876136034727097,0.24626639112830162,0.9701271057128906,0.07343816570937634,0.053821205627173185
4401,4500,100,250.81266161303938,0.0988080820068717,0.9668701350688934,0.12640323344618082,0.02759515130892396,0.02759515130892396,0.9978264421224594,0.9702184647321701,0.9875542968511581,0.2293725647032261,0.9740206599235535,0.07643717154860497,0.04548002127557993
4501,4600,100,256.2969474580459,0.08073352722451091,0.9727636909484864,0.10593592897057533,0.025202401839196684,0.025202401839196684,0.9984346032142639,0.9736278802156448,0.9883904904127121,0.22112464159727097,0.9758470952510834,0.07574214786291122,0.051271144300699234
4601,4700,100,261.80938951404823,0.0907971728593111,0.9692936384677887,0.11602248553186655,0.02522531284019351,0.02522531284019351,0.9987115859985352,0.9786305278539658,0.9884265959262848,0.21659766137599945,0.976893350481987,0.04916208703070879,0.03408714663237333
4701,4800,100,267.3348196800325,0.0787785541638732,0.9734440344572067,0.1023356830701232,0.023557128943502904,0.023557128943502904,0.9992481172084808,0.9791261404752731,0.9896766990423203,0.2139894925057888,0.9773632884025574,0.06896160496398807,0.047201850451529026
4801,4900,100,272.89891996499864,0.0834307224303484,0.9720727729797364,0.10660212066024542,0.023171398602426053,0.023171398602426053,0.9996563792228699,0.981579601764679,0.989746019244194,0.20937517285346985,0.9783253222703934,0.05310574918985367,0.04034817637875676
4901,5000,100,278.47423973498735,0.07384132234379649,0.9750504744052887,0.09588957749307156,0.02204825507476926,0.02204825507476926,1.0002625584602356,0.981486365199089,0.9911419451236725,0.20620431005954742,0.978983074426651,0.055672223679721355,0.04284108499996364
5001,5100,100,284.078118488007,0.06955434892326594,0.9763403534889221,0.09024548843502998,0.020691139306873083,0.020691139306873083,1.0009858906269073,0.9841208904981613,0.9918347597122192,0.20458371937274933,0.9793222695589066,0.053852119483053684,0.04325632005929947
5101,5200,100,289.6341725940074,0.07298105577006936,0.9752938020229339,0.0942524078860879,0.021271352265030144,0.021271352265030144,1.0017392337322235,0.9832160770893097,0.9929018765687943,0.20626533031463623,0.9789574146270752,0.05813931068405509,0.04534612316638231
5201,5300,100,295.22555827302494,0.05982265504077077,0.9797835463285446,0.07946967210620642,0.019647016599774362,0.019647016599774362,1.002429485321045,0.9864733070135117,0.9938740730285645,0.19106276705861092,0.9819427728652954,0.03646824415773153,0.02357629733160138
5301,5400,100,300.80762714603406,0.057618485540151594,0.9806225770711898,0.07739800792187453,0.019779522232711316,0.019779522232711316,1.0033802092075348,0.986186295747757,0.9951375722885132,0.1976260282099247,0.9806742966175079,0.04378212057054043,0.03367423918098211
5401,5500,100,306.41677863503355,0.06235857956111431,0.978844422698021,0.08161582030355931,0.019257240947335958,0.019257240947335958,1.003893792629242,0.9890379011631012,0.9951943904161453,0.2039046287536621,0.9794020801782608,0.055473451502621174,0.051648760214447975
5501,5600,100,311.95873915803895,0.06462127370759845,0.9782755708694458,0.08401645816862584,0.01939518466591835,0.01939518466591835,1.0043694078922272,0.9882099479436874,0.9958208054304123,0.19670509919524193,0.9808657467365265,0.04914868623018265,0.03785393387079239
5601,5700,100,317.4997752700365,0.058652536235749723,0.9800089699029922,0.07702255878597498,0.01837002260610461,0.01837002260610461,1.0049470663070679,0.9911988228559494,0.9966772943735123,0.19641001895070076,0.9809274226427078,0.0627376027405262,0.048066011629998684
5701,5800,100,323.039174297046,0.057570139952003954,0.9806152522563935,0.07669241232797504,0.01912227217108011,0.01912227217108011,1.0055098831653595,0.9920216947793961,0.997588500380516,0.19106600061058998,0.9819437563419342,0.027457220945507288,0.023517875466495752
5801,5900,100,328.57658324903605,0.048946526758372785,0.9834448450803757,0.0664872869476676,0.017540760152041913,0.017540760152041913,1.0060685873031616,0.993985116481781,0.998169332742691,0.1847684346139431,0.9831240773200989,0.02857027668505907,0.02447064546868205
5901,6000,100,334.12536409405584,0.05192801285535097,0.982480491399765,0.06956815570592881,0.017640143129974604,0.017640143129974604,1.006770670413971,0.9909562915563583,0.998842403292656,0.18983406201004982,0.9821512252092361,0.044084794353693724,0.032055515330284834
6001,6100,100,339.71421734205796,0.04551652278751135,0.9846631044149399,0.062370646111667156,0.016854123044759035,0.016854123044759035,1.0072974264621735,0.9922405928373337,0.9995659291744232,0.17851269617676735,0.9842316508293152,0.026243974920362234,0.021898211911320686
6101,6200,100,345.3189136900546,0.04934538485482335,0.9832161635160446,0.06645160537213086,0.017106220200657843,0.017106220200657843,1.0080313384532928,0.9928324520587921,1.0005191266536713,0.17949848622083664,0.9840673953294754,0.030488688964396715,0.02290720259770751
6201,6300,100,350.8934434970579,0.047730340557172894,0.9839591664075852,0.06446569476276637,0.016735354112461208,0.016735354112461208,1.008588194847107,0.9955077469348907,1.0009190738201141,0.18602704256772995,0.9828429967164993,0.03748841304332018,0.030731579288840294
6301,6400,100,356.50092910109015,0.0442784761171788,0.9848982948064804,0.06057154789566994,0.016293071592226625,0.016293071592226625,1.0089171230793,0.996097981929779,1.0012088119983673,0.17825665324926376,0.9842678308486938,0.028481983114033937,0.02381517691537738
6401,6500,100,362.0947056490986,0.044150360729545354,0.9850512897968292,0.0602926816791296,0.016142320977523925,0.016142320977523925,1.0095771551132202,0.9957572221755981,1.0016898810863495,0.17887816578149796,0.9841422438621521,0.02923193108290434,0.025894477497786283
6501,6600,100,367.66922816208535,0.03946292167529464,0.9866268110275268,0.05521096806973219,0.015748046413064,0.015748046413064,1.0101617574691772,0.9955081939697266,1.0024011433124542,0.17522691935300827,0.9848027974367142,0.034374771639704704,0.021245379000902176
6601,6700,100,373.23918432807477,0.04238096842542291,0.9855249232053757,0.05824351327493787,0.015862544598057866,0.015862544598057866,1.0106426179409027,1.0006941705942154,1.0030137300491333,0.17913824319839478,0.9841303378343582,0.03683745535090566,0.03127194382250309
6701,6800,100,378.83213310109204,0.04252090016379952,0.9856616419553756,0.05824303021654487,0.01572213024832308,0.01572213024832308,1.011162519454956,0.9976373463869095,1.0032228231430054,0.17524241283535957,0.9848110526800156,0.028674203669652343,0.024910000152885914
