arm,update,selection,dev_token_accuracy,dev_whole_word_exact_match,ood_ce,A36,M36,E12,E13,E14,E15,E16,E36
rt_nextlat,1000,diagnostic/reference,0.613525390625,0.016416015625,3.2844407697997795,0.01609375,0.2176898871527778,0.01669921875,0.004013671875,0.00076171875,6.8359375e-05,0.0,0.0
rt_nextlat,5000,diagnostic/reference,0.9411743164062499,0.68275390625,3.7918064564307974,0.016943359375,0.33860785590277775,0.68341796875,0.34673828125,0.066806640625,0.00751953125,0.00044921875,0.0
rt_nextlat,10000,diagnostic/reference,0.9975325520833332,0.983046875,3.3474552533695903,0.01642578125,0.3911941189236111,0.98376953125,0.96865234375,0.622373046875,0.127216796875,0.013349609375,0.0
rt_nextlat,20000,diagnostic/reference,0.9988533528645834,0.990947265625,3.159689132001693,0.017099609375,0.3801101345486111,0.990712890625,0.93419921875,0.341435546875,0.043349609375,0.0029296875,0.0
rt_nextlat,25000,diagnostic/reference,0.9989168294270835,0.9909375,3.378510560108424,0.01609375,0.37397705078125,0.990830078125,0.840595703125,0.23046875,0.02447265625,0.00142578125,0.0
rt_nextlat,30000,diagnostic/reference,0.99847412109375,0.98939453125,3.3355076183439105,0.01615234375,0.3816737196180556,0.98970703125,0.953984375,0.378486328125,0.047646484375,0.003134765625,0.0
rt_nextlat,40000,diagnostic/reference,0.9994856770833334,0.996337890625,3.389478876631685,0.016220703125,0.3879597981770833,0.9964453125,0.9811328125,0.53603515625,0.081787109375,0.006015625,0.0
rt_nextlat,50000,diagnostic/reference,0.9995410156250001,0.99677734375,3.5598057693203753,0.016142578125,0.3818576388888889,0.9975,0.962314453125,0.370966796875,0.039248046875,0.002138671875,0.0
rt_nextlat,60000,diagnostic/reference,0.9996126302083331,0.99759765625,3.9741276303519615,0.017119140625,0.38278211805555556,0.9976953125,0.957265625,0.39451171875,0.053955078125,0.004091796875,0.0
rt_nextlat,70000,diagnostic/reference,0.9999381510416665,0.99947265625,6.000862372087492,0.016689453125,0.38639539930555555,0.999306640625,0.969521484375,0.479140625,0.07892578125,0.00677734375,0.0
rt_nextlat,80000,user-selected after development review,0.999404296875,0.99544921875,6.9844860408940965,0.016728515625,0.3782080078125,0.995087890625,0.9091015625,0.29693359375,0.0344140625,0.002236328125,0.0
rt,10000,diagnostic/reference,0.9987524414062499,0.991845703125,4.670085698225175,0.016962890625,0.3735883246527778,0.991708984375,0.79873046875,0.21515625,0.02810546875,0.00244140625,0.0
rt,80000,diagnostic/reference,0.9999609374999999,0.999814453125,10.684952910261863,0.01701171875,0.36559027777777775,0.999794921875,0.651171875,0.114365234375,0.0119140625,0.00099609375,0.0
