arm,first_update,injection_coefficient,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
value,1,5e-05,0.9871561825275421,0.033537305826321244,0.16253704950213432,0.999269649386406,0.17628031596541405,3.825815076828003,1.0098554193973541,4.36702299118042,3.7922777795791625,0.27049997448921204,0.09783691650256515,15.22644341599971,100,100,0.033537305826321244
value,101,0.0001,0.9495663046836853,0.03747083027847111,0.29374508932232857,0.9989559799432755,0.36280466243624687,3.6308930945396423,0.9958209991455078,4.358875513076782,3.593422272205353,0.4194849282503128,0.13906331822276116,29.136115551999865,200,100,0.03747083027847111
value,201,0.00015,0.9430070072412491,0.04562773182988167,0.3083849996328354,0.9986360371112823,0.46051235496997833,3.458852093219757,0.9765482246875763,4.241245150566101,3.4132243514060976,0.5000796169042587,0.18279053270816803,43.026388604998374,300,100,0.04562773182988167
value,301,0.0002,0.9476500600576401,0.037385144419968125,0.28715429455041885,0.9982378780841827,0.48884984850883484,3.4437784600257872,0.9705791622400284,4.164132833480835,3.4063933229446413,0.43615133315324783,0.183429367095232,56.8343399639989,400,100,0.037385144419968125
value,401,0.00025,0.9478674679994583,0.03592121176421642,0.282288633286953,0.997937023639679,0.5143118873238564,3.4407308149337767,0.9648526310920715,4.132445812225342,3.404809603691101,0.4109625145792961,0.18348226457834244,70.71846855900048,500,100,0.03592121176421642
value,501,0.0003,0.9432987868785858,0.036446312293410305,0.28785885870456696,0.9977044314146042,0.5400531589984894,3.4397298240661622,0.9599968641996384,4.119343519210815,3.4032835125923158,0.39756107330322266,0.18387614458799362,84.59052155099971,600,100,0.036446312293410305
value,601,0.00035000000000000005,0.9300302863121033,0.04186465565115213,0.31716321408748627,0.997596874833107,0.5675584524869919,3.420342199802399,0.9560677111148834,4.124404668807983,3.378477540016174,0.4305408373475075,0.18702148914337158,98.4604181510017,700,100,0.04186465565115213
value,701,0.0004,0.6290423423051834,0.17639308255165814,0.6792375072836876,0.9979571551084518,0.8066788762807846,2.8356846261024473,0.7136666402220726,4.155568838119507,2.6592915546894074,1.375855416059494,0.290205901414156,112.3444763400048,800,100,0.17639308255165814
value,801,0.00045,0.13224726170301437,0.4245109814405441,1.0068377256393433,1.0011686384677887,0.9901593774557114,1.0647594225406647,0.318218432366848,4.198498010635376,0.6402484412491322,3.349785625934601,0.7928214728832245,126.28428520700436,900,100,0.4245109814405441
value,901,0.0005,0.15330728888511658,0.42477585524320605,0.9952009916305542,1.0054614841938019,0.9918089509010315,0.5621469473838806,0.2899094894528389,4.076372742652893,0.13737109195441008,3.85910427570343,0.9582462775707244,140.29312605100267,1000,100,0.42477585524320605
value,1001,0.00055,0.20276634395122528,0.41620451003313064,0.9790852516889572,1.0078842043876648,0.9915194511413574,0.4753870013356209,0.27514516562223434,3.935018301010132,0.05918249065056443,3.8337989449501038,0.9818619990348816,154.2343814990013,1100,100,0.41620451003313064
value,1101,0.0006,0.2778002694249153,0.40283487051725386,0.9575643390417099,1.0074350237846375,0.990529328584671,0.43808711916208265,0.2754640504717827,3.6955816745758057,0.035252248235046864,3.6313114762306213,0.9891756385564804,168.2887412949999,1200,100,0.40283487051725386
value,1201,0.0006500000000000001,0.3759283795952797,0.38135328829288484,0.9265050292015076,1.0039242804050446,0.9843092411756516,0.40754726350307463,0.3057894706726074,3.3734782934188843,0.0261939746607095,3.327854096889496,0.9920955586433411,182.29003472999693,1300,100,0.38135328829288484
value,1301,0.0007000000000000001,0.457830049097538,0.35538421392440794,0.8930115401744843,0.9983637630939484,0.9771433770656586,0.37750359654426574,0.3557673320174217,3.016483724117279,0.02211938177701086,2.972419500350952,0.9933040583133698,196.25014926199765,1400,100,0.35538421392440794
value,1401,0.00075,0.5255872011184692,0.3288815179467201,0.8566700369119644,0.9921623319387436,0.9698093682527542,0.34841595888137816,0.4138629585504532,2.6431570649147034,0.019534441437572242,2.6060017347335815,0.9941666859388352,210.32297459499432,1500,100,0.3288815179467201
value,1501,0.0008,0.5677317827939987,0.306552996635437,0.829001247882843,0.9857885390520096,0.9637811183929443,0.3219075718522072,0.4529254138469696,2.3323039412498474,0.01535457503516227,2.3004905581474304,0.9954248243570327,224.26248670499308,1600,100,0.306552996635437
value,1601,0.0008500000000000001,0.6210275590419769,0.2818294674158096,0.7931089103221893,0.9789431244134903,0.953961193561554,0.2958587944507599,0.4764252156019211,2.074141502380371,0.014029326774179935,2.0481328666210175,0.9959611201286316,238.1434548689931,1700,100,0.2818294674158096
