aggregate_tokens_per_second,backbone_parameters,backend,bucket_view,case,deployable_inference_parameters,fusion_parameters,git_head,global_batch,gpu_microseconds_per_input_token,length,local_batch,matrix_flops_maximum,matrix_flops_minimum,nextlat_training_only_parameters,probe_stage,rank_throughput_records_agree,registered_unique_parameters,retention_verified,seconds_per_update,stage,status,timing_scope,tiny,training_architecture_parameters,wandb,world_size,ordinary_rope_backend,series,minimum_sampled_free_gib,maximum_setup_peak_allocated_gib,maximum_setup_peak_reserved_gib,maximum_steady_reserved_gib,plot_eligible,plot_exclusion_reasons
85804.03483967336,1176764416,ddp,False,ordinary,1176764416,0,1a982300ba844992e1a2bdcfca188f7cd40e9d05,256,23.308927182003057,512,128,1273298352603136,1180973735608320,0,capacity,True,1185153024,True,1.5275738517997524,ordinary-dao-ddp-b128-01,passed,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",False,1176764416,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/74bfhe6g,2,dao,Dao RoPE / DDP / 2 GPU,35.9259033203125,38.65811777114868,76.734375,41.703125,True,[]
86282.5017067211,1176764416,ddp,False,ordinary,1176764416,0,1a982300ba844992e1a2bdcfca188f7cd40e9d05,384,23.17967096964931,512,192,1909947528904704,1771460603412480,0,capacity,True,1185153024,True,2.278654375000406,ordinary-dao-ddp-b192-01,passed,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",False,1176764416,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/868y5jy9,2,dao,Dao RoPE / DDP / 2 GPU,25.8243408203125,46.70810556411743,76.666015625,51.802734375,True,[]
80279.48322101428,1176764416,ddp,False,ordinary,1176764416,0,1a982300ba844992e1a2bdcfca188f7cd40e9d05,64,24.91296555178213,512,32,318324588150784,295243433902080,0,capacity,True,1185153024,True,0.4081740276003984,ordinary-dao-ddp-b32-01,passed,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",False,1176764416,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/hu9io4py,2,dao,Dao RoPE / DDP / 2 GPU,49.1329345703125,26.58289337158203,40.951171875,28.498046875,True,[]
85151.90188347545,1176764416,ddp,False,ordinary,1176764416,0,1a982300ba844992e1a2bdcfca188f7cd40e9d05,128,23.487437811275935,512,64,636649176301568,590486867804160,0,capacity,True,1185153024,True,0.7696363621998898,ordinary-dao-ddp-b64-01,passed,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",False,1176764416,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/ay5416z1,2,dao,Dao RoPE / DDP / 2 GPU,44.9063720703125,30.606177806854248,53.0390625,32.724609375,True,[]
85274.14142063363,1176764416,ddp,False,ordinary,1176764416,0,a69fe1ba1376419aa9d17389bdccdc1f3acf8fb0,128,23.453768829340138,512,64,636649176301568,590486867804160,0,capacity,True,1185153024,True,0.7685330969998176,ordinary-dao-ddp-b64-02,passed,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",False,1176764416,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/qmqgesfz,2,dao,Dao RoPE / DDP / 2 GPU,44.9063720703125,30.606177806854248,53.0390625,32.724609375,True,[]
44041.286234443854,1176764416,single,False,ordinary,1176764416,0,a69fe1ba1376419aa9d17389bdccdc1f3acf8fb0,128,22.705967184444287,512,128,636649176301568,590486867804160,0,single_reference,True,1185153024,True,1.4880582653997407,ordinary-dao-single-b128-01,passed,"batch validation/copy + captured forward/loss/backward + finite checks/clipping/Adam/scheduler; excluding fixture construction, reporting, digests; no distributed communication",False,1176764416,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/yqfpvlue,1,dao,Dao RoPE / Single / 1 GPU,40.91229248046875,34.27091073989868,37.517578125,37.517578125,True,[]
78183.60207971571,1176764416,ddp,False,ordinary,1176764416,0,0c6ace41da8c1a16411aefe103a0bded7c651317,128,25.58081166381676,512,64,636649176301568,590486867804160,0,capacity,True,1185153024,True,0.8382320365999476,ordinary-native-ddp-b64-01,passed,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",False,1176764416,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/ny0jx5v5,2,native,Native RoPE control / DDP / 2 GPU,44.2169189453125,30.59055233001709,53.318359375,33.412109375,True,[]
