arm,update,parameter_count,dev_whole_word_exact_match,dev_token_accuracy,ood_ce,A36,M36,E12,E13,E14,E15,E16,E36
rt_window2_first_ce,1000,6357504,0.0001953125,0.4238728841145833,3.4656664432872675,0.016162109375,0.15268229166666666,0.000146484375,9.765625e-06,0.0,0.0,0.0,0.0
rt_window2_first_ce,5000,6357504,0.9848828125,0.9978955078124999,14.249482401211916,0.016806640625,0.3643853081597222,0.985078125,0.7038671875,0.06146484375,0.002021484375,6.8359375e-05,0.0
rt_window2_first_ce,10000,6357504,0.9966015625,0.9994392903645832,13.25359434574519,0.017099609375,0.3616091579861111,0.99693359375,0.61599609375,0.03248046875,0.000966796875,0.0,0.0
rt_window2_first_ce,20000,6357504,0.99552734375,0.9987947591145833,16.396462411479725,0.01677734375,0.35888807508680554,0.995625,0.507412109375,0.0391015625,0.001259765625,1.953125e-05,0.0
rt_window2_first_ce,25000,6357504,0.998671875,0.9997452799479166,18.464336361659132,0.016455078125,0.3700396050347222,0.998642578125,0.8045703125,0.133232421875,0.0053515625,0.00015625,0.0
rt_window2_first_ce,30000,6357504,0.998681640625,0.9996744791666666,18.894514856374723,0.01708984375,0.3651950412326389,0.9986328125,0.672236328125,0.07322265625,0.00359375,0.000126953125,0.0
rt_window2_first_ce,40000,6357504,0.999013671875,0.9997900390625,19.876117490176416,0.017119140625,0.3639580620659722,0.998818359375,0.60814453125,0.067041015625,0.004111328125,0.0001171875,0.0
rt_window2_first_ce,50000,6357504,0.999599609375,0.9999373372395833,22.422798482692457,0.017216796875,0.37238416883680553,0.99962890625,0.862353515625,0.113720703125,0.00962890625,0.000673828125,0.0
rt_window2_first_ce,60000,6357504,0.99955078125,0.9998600260416666,20.21049967084919,0.016884765625,0.3831955295138889,0.999521484375,0.984287109375,0.322119140625,0.03900390625,0.002509765625,0.0
rt_window2_first_ce,70000,6357504,0.999306640625,0.9998055013020833,21.465587850715465,0.016748046875,0.3725518120659722,0.999208984375,0.770390625,0.1787109375,0.0159765625,0.000732421875,0.0
rt_window2_first_ce,80000,6357504,0.9995703125,0.9998942057291665,22.154530177662075,0.016748046875,0.3734716796875,0.999560546875,0.774326171875,0.18595703125,0.018837890625,0.001240234375,0.0
rt_window2_first,1000,7407104,0.95634765625,0.9931136067708333,0.37383916760297975,0.69826171875,0.8835413953993055,0.955615234375,0.941416015625,0.925146484375,0.90732421875,0.887431640625,0.467470703125
rt_window2_first,5000,7407104,0.993349609375,0.9990787760416667,0.16414373568255872,0.85583984375,0.9545556640625,0.99365234375,0.9901953125,0.98607421875,0.980771484375,0.974833984375,0.740673828125
rt_window2_first,10000,7407104,0.994775390625,0.9992000325520833,0.1190318756960539,0.91765625,0.97316650390625,0.99525390625,0.99310546875,0.99046875,0.98759765625,0.9838671875,0.85791015625
rt_window2_first,20000,7407104,0.99806640625,0.9996598307291666,0.03960369874972864,0.97875,0.9928352864583333,0.9980859375,0.997412109375,0.996640625,0.99568359375,0.994619140625,0.963369140625
rt_window2_first,25000,7407104,0.996806640625,0.9994474283854166,0.05449141533012642,0.977392578125,0.9916669379340278,0.9968359375,0.995908203125,0.995029296875,0.993935546875,0.9926953125,0.96208984375
rt_window2_first,30000,7407104,1.0,1.0,4.2429621724130973e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,40000,7407104,1.0,1.0,2.68338960507957e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,50000,7407104,1.0,1.0,2.8100882515384307e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,60000,7407104,1.0,1.0,2.1428459097532015e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,70000,7407104,1.0,1.0,1.261014233177435e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rt_window2_first,80000,7407104,1.0,1.0,8.2958717480815e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
