first_update,injection_coefficient,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
1,4e-09,0.9866183549165726,0.0350697299093008,0.16538714617490768,0.9991848170757294,0.18238679692149162,3.823089199066162,1.010394424200058,4.371050596237183,3.788019473552704,0.27228596806526184,0.09742838773876429,11.868698799993581,100,100,0.0350697299093008
101,1.6e-08,0.9581741839647293,0.029045043345540762,0.26107294112443924,0.9988549947738647,0.3454981967806816,3.6815330266952513,0.9960874021053314,4.2936789989471436,3.6524879813194273,0.28939278796315193,0.12387207336723804,22.44531722997999,200,100,0.029045043345540762
201,3.6000000000000005e-08,0.9308901876211166,0.05283315785229206,0.33730923384428024,0.9988242536783218,0.5102028548717499,3.4786866068840028,0.9781417846679688,4.241718888282776,3.4258534479141236,0.47682660073041916,0.1807902064919472,33.114466615979836,300,100,0.05283315785229206
301,6.4e-08,0.9434748589992523,0.0411136357113719,0.2980364263057709,0.9984797984361649,0.5144102424383163,3.448519802093506,0.9706688225269318,4.159346699714661,3.4074061727523803,0.42743541300296783,0.18334717229008674,43.86474359597378,400,100,0.0411136357113719
401,1.0000000000000001e-07,0.9439855217933655,0.03776137370616198,0.2899221032857895,0.9982127249240875,0.538880854845047,3.442519404888153,0.9633051007986069,4.127744078636169,3.4047580218315123,0.40566977858543396,0.1835107471048832,54.43361257398101,500,100,0.03776137370616198
501,1.4400000000000002e-07,0.941133663058281,0.03771400857716799,0.2925160601735115,0.9980128407478333,0.5525582134723663,3.4403917455673216,0.9607357233762741,4.11736786365509,3.4026777362823486,0.3973212093114853,0.18411214679479598,65.03885089597861,600,100,0.03771400857716799
601,1.9600000000000003e-07,0.9369815140962601,0.03905133076012134,0.2998186722397804,0.9978432357311249,0.5546785593032837,3.436625294685364,0.9613785892724991,4.111105561256409,3.3975739550590514,0.39825718104839325,0.18537272661924362,75.60670642698096,700,100,0.03905133076012134
701,2.56e-07,0.931054875254631,0.042225706316530706,0.31154579669237137,0.9976664036512375,0.5657956600189209,3.422323236465454,0.9579474776983261,4.11276912689209,3.3800975346565245,0.41585372388362885,0.18884196415543555,86.12357706797775,800,100,0.042225706316530706
801,3.24e-07,0.9178528487682343,0.05021099764853716,0.3430390954017639,0.9975311905145645,0.5870778560638428,3.379365611076355,0.9491769075393677,4.115988731384277,3.3291546154022216,0.4783635064959526,0.19786947086453438,96.64700353597073,900,100,0.05021099764853716
901,4.0000000000000003e-07,0.8397782742977142,0.0908840811252594,0.47701267898082733,0.997723788022995,0.6976643800735474,3.188234796524048,0.8936188817024231,4.1264636516571045,3.0973507142066956,0.7673936188220978,0.23623779967427253,107.38209992397242,1000,100,0.0908840811252594
1001,4.839999999999999e-07,0.6100682318210602,0.2227057111263275,0.7296869605779648,0.9993582367897034,0.8624223619699478,2.416756317615509,0.7115732431411743,4.118362307548523,2.1940506005287173,1.676476538181305,0.3993343213200569,118.30218033997699,1100,100,0.2227057111263275
1101,5.760000000000001e-07,0.4156893193721771,0.3343942928314209,0.8752436190843582,1.002540647983551,0.9521224349737167,1.6647371411323548,0.5394185334444046,4.06719970703125,1.3303428465127944,2.476549983024597,0.5958146324753761,128.90049254397672,1200,100,0.3343942928314209
1201,6.76e-07,0.34928545355796814,0.3713392573595047,0.9172472506761551,1.0063097774982452,0.9839526563882828,1.2100063061714172,0.453330934047699,3.9994137287139893,0.8386670488119126,2.9030696749687195,0.7332706928253174,139.52117328597888,1300,100,0.3713392573595047
1301,7.840000000000001e-07,0.3430054858326912,0.381641680598259,0.9273282587528229,1.009997695684433,0.9969029426574707,0.9803136986494064,0.3990544229745865,3.848646104335785,0.5986720213294029,3.0843660831451416,0.8041902858018876,150.14544720397316,1400,100,0.381641680598259
1401,9e-07,0.4085679277777672,0.3754801079630852,0.901388630270958,1.0127674639225006,0.999160036444664,0.8237446635961533,0.40712159872055054,3.61819851398468,0.4482645566761494,3.005208730697632,0.851825378537178,160.7200650919749,1500,100,0.3754801079630852
1501,1.024e-06,0.4770125225186348,0.3575470307469368,0.8814491480588913,1.0151489675045013,1.0066375434398651,0.6370004492998124,0.37945467233657837,3.200835168361664,0.2794534170627594,2.8476096391677856,0.9068229347467422,171.1618622459664,1600,100,0.3575470307469368
1601,1.1560000000000002e-06,0.5775353908538818,0.32317044883966445,0.830318808555603,1.0151553452014923,1.0058239102363586,0.5476043784618377,0.4226108714938164,2.6833285093307495,0.22443393334746362,2.408703327178955,0.9248152828216553,181.6541566979613,1700,100,0.32317044883966445
