first_update,injection_coefficient,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
1,2e-07,0.9866182804107666,0.035069729890674355,0.16538714244961739,0.9991848319768906,0.18238679319620132,3.8230891823768616,1.0103944540023804,4.371050596237183,3.7880194568634034,0.27228596806526184,0.09742838773876429,12.077403418996255,100,100,0.035069729890674355
101,8e-07,0.9581741690635681,0.029045043140649797,0.26107294112443924,0.9988549947738647,0.3454981967806816,3.681533007621765,0.9960874170064926,4.2936789989471436,3.652487962245941,0.28939277678728104,0.12387207336723804,22.90739935399597,200,100,0.029045043140649797
201,1.8000000000000001e-06,0.930890217423439,0.05283315911889076,0.33730922639369965,0.9988242387771606,0.5102028101682663,3.478686625957489,0.9781417548656464,4.241718888282776,3.425853464603424,0.4768265634775162,0.1807902064919472,33.6864733339944,300,100,0.05283315911889076
301,3.2e-06,0.9434724003076553,0.04111363258212805,0.29803984612226486,0.9984797984361649,0.5144185572862625,3.4485198402404786,0.9706667512655258,4.15934944152832,3.4074062085151673,0.4274374917149544,0.18334635838866234,44.568825430995275,400,100,0.04111363258212805
401,5e-06,0.9434308260679245,0.0378959371522069,0.29100632667541504,0.9982133060693741,0.5400726050138474,3.4427530360221863,0.961911603808403,4.128596663475037,3.4048570871353148,0.4067697525024414,0.18354248508810997,55.44265623399042,500,100,0.0378959371522069
501,7.2000000000000005e-06,0.9414480626583099,0.0376875089854002,0.29196398705244064,0.9980159997940063,0.5480135083198547,3.440341832637787,0.9625526666641235,4.118564009666443,3.4026543354988097,0.39814991503953934,0.18416016146540642,66.52037401598591,600,100,0.0376875089854002
601,9.800000000000001e-06,0.9366784989833832,0.039291413463652135,0.2999609634280205,0.9978421926498413,0.5531307607889175,3.436748104095459,0.9594865888357162,4.111659288406372,3.397456691265106,0.39782193303108215,0.1853727263212204,77.58115497798553,700,100,0.039291413463652135
701,1.28e-05,0.9312620162963867,0.04234162911772728,0.31120818108320236,0.9976714551448822,0.5637525022029877,3.421909465789795,0.9579381346702576,4.113060355186462,3.3795678329467775,0.41525691002607346,0.1888631236553192,88.45313259398336,800,100,0.04234162911772728
801,1.6199999999999997e-05,0.9170535057783127,0.05070611231029034,0.34509745240211487,0.997537225484848,0.5900431573390961,3.3772449707984924,0.9481709003448486,4.1156593561172485,3.326538853645325,0.48180410265922546,0.19825602680444718,99.23033763698277,900,100,0.05070611231029034
901,2e-05,0.8373496383428574,0.09276276893913746,0.48063239455223083,0.9977486878633499,0.6993649750947952,3.180013976097107,0.8929711729288101,4.126372814178467,3.087251217365265,0.7769887000322342,0.23826172575354576,110.01283227398744,1000,100,0.09276276893913746
1001,2.42e-05,0.6015554517507553,0.22098988756537438,0.7378754764795303,0.9994207620620728,0.8660690039396286,2.4209266829490663,0.7046992480754852,4.124714016914368,2.19993679523468,1.7319888174533844,0.4004443472623825,120.77515048298665,1100,100,0.22098988756537438
1101,2.8800000000000002e-05,0.4164137542247772,0.331078881919384,0.8737433701753616,1.002610057592392,0.9523159712553024,1.657096118927002,0.5396000146865845,4.067728638648987,1.326017233133316,2.495045006275177,0.5974666565656662,131.5731223279854,1200,100,0.331078881919384
1201,3.38e-05,0.348306305706501,0.3703840497136116,0.9174109846353531,1.006450355052948,0.9838151335716248,1.2215911203622818,0.44823772460222244,3.9864715337753296,0.8512070685625076,2.9289958477020264,0.7296354341506958,142.5691622409813,1300,100,0.3703840497136116
1301,3.9200000000000004e-05,0.3498915210366249,0.3784684455394745,0.9238791167736053,1.0097123384475708,0.9957170486450195,1.0317964303493499,0.40600863844156265,3.84276807308197,0.6533279857039451,3.088353931903839,0.788553894162178,153.5990643469795,1400,100,0.3784684455394745
1401,4.5e-05,0.39441850781440735,0.3763826903700829,0.9104831963777542,1.0126348435878754,1.0024325102567673,0.7921490442752838,0.38493313640356064,3.6078073382377625,0.4157663568854332,3.0637561678886414,0.8624251514673233,164.54528504998507,1500,100,0.3763826903700829
1501,5.12e-05,0.47980158030986786,0.3583187174797058,0.8790253251791,1.0151354670524597,1.0061766505241394,0.6640451961755752,0.38394705951213837,3.198083221912384,0.30572647899389266,2.823184609413147,0.8973934137821198,175.26970031398196,1600,100,0.3583187174797058
1601,5.780000000000001e-05,0.5853453725576401,0.32235286325216295,0.8248907625675201,1.015079140663147,1.0062076151371002,0.5322790923714638,0.4286757856607437,2.668504536151886,0.20992622919380666,2.3961408138275146,0.9301814967393875,186.02896173199133,1700,100,0.32235286325216295
1701,6.479999999999999e-05,0.6790687441825867,0.2767447617650032,0.7558879852294922,1.0127083361148834,1.0041479170322418,0.42604689598083495,0.5100793316960335,2.0424560606479645,0.1493021323531866,1.8531584441661835,0.9506486195325852,197.06513842498953,1800,100,0.2767447617650032
1801,7.22e-05,0.7435064911842346,0.232676013559103,0.6856044083833694,1.0092113316059113,1.0001181811094284,0.3481709808111191,0.6169740259647369,1.5078910887241364,0.11549496687948704,1.3397970497608185,0.9621329927444457,207.72170685199671,1900,100,0.232676013559103
1901,8e-05,0.7758548706769943,0.20230422407388687,0.6390596926212311,1.0062384009361267,0.9963147193193436,0.29692280426621437,0.7113631665706635,1.0967949032783508,0.09461857941001654,0.9749485552310944,0.9689201039075851,218.28405624299648,2000,100,0.20230422407388687
2001,8.820000000000002e-05,0.7862869203090668,0.1888205087184906,0.6214840114116669,1.004751592874527,0.9930873215198517,0.2663671536743641,0.7683845460414886,0.8484137803316116,0.0775466450303793,0.7566732317209244,0.9747444850206375,228.96972665099565,2100,100,0.1888205087184906
